participant_id,list,item_id,trial_order,stimulus,target_word,response,age,gender,education,first_language,nationality,country_of_birth,country_of_residence
QAHFTR,1,1601,59,If I have time at the end Ill fill you,in,4,,,,,,,
QAHFTR,1,1506,60,Billy,knocked,2,,,,,,,
QAHFTR,1,1403,61,From the moment we leave this,spot,5,,,,,,,
QAHFTR,1,1111,62,He drank,too,2,,,,,,,
QAHFTR,1,504,63,He,heaved,2,,,,,,,
QAHFTR,1,990,64,She wound up talking to,Barry,3,,,,,,,
QAHFTR,1,185,65,Ill give,him,1,,,,,,,
QAHFTR,1,366,66,I do not spare the birds a,killing.,5,,,,,,,
QAHFTR,1,909,67,He went to the,door,1,,,,,,,
QAHFTR,1,240,68,Tom stood up,and,5,,,,,,,
QAHFTR,1,967,69,Run along,home,1,,,,,,,
QAHFTR,1,343,70,He sat down and began,to,5,,,,,,,
QAHFTR,1,1588,71,He sat his son up on the table and laid,his,2,,,,,,,
QAHFTR,1,1107,72,He didnt seem to mind that she was screaming,in,4,,,,,,,
QAHFTR,1,504,73,He,heaved,4,,,,,,,
QAHFTR,1,1017,74,We shall,arrive,2,,,,,,,
QAHFTR,1,1060,75,You shouldnt have been racing,my,1,,,,,,,
QAHFTR,1,208,76,Scott,got,1,,,,,,,
QAHFTR,1,1630,77,The police officer got out of the van and picked up the two,cans.,2,,,,,,,
QAHFTR,1,1604,78,If I have time at the end Ill fill you in on what,happened.,4,,,,,,,
QAHFTR,1,506,79,He heaved his,shoulders,4,,,,,,,
QAHFTR,1,852,80,The brothers stood up and came,down,5,,,,,,,
QAHFTR,1,629,81,Christopher groaned and lay his hands,across,5,,,,,,,
QAHFTR,1,1306,82,She threatened to leave before and this time she just,had,2,,,,,,,
QAHFTR,1,1614,83,Henry washed his hands and sat on the seat in,front,3,,,,,,,
QAHFTR,1,1348,84,They stared at the black wall and now,this,1,,,,,,,
QAHFTR,1,1613,85,Henry washed his hands and sat on the seat,in,5,,,,,,,
QAHFTR,1,1635,86,The speaker turned to her,with,5,,,,,,,
QAHFTR,1,549,87,He smiled when she let out,a,4,,,,,,,
QAHFTR,1,1283,88,Alan told Jason he would just sit outside to,have,5,,,,,,,
QAHFTR,1,1469,89,I cant see any amount of talk getting you out of this,mess.,5,,,,,,,
QAHFTR,1,1706,90,If this were a movie instead of a,book,5,,,,,,,
QAHFTR,1,1551,91,One by one she placed her teeth about their necks,and,5,,,,,,,
QAHFTR,1,1022,92,We shall arrive properly or you will,never,5,,,,,,,
QAHFTR,1,205,93,Sam felt proud when,he,5,,,,,,,
QAHFTR,1,1150,94,He put his hands in his pockets and,leaned,5,,,,,,,
QAHFTR,1,997,95,The gate,was,4,,,,,,,
QAHFTR,1,887,96,He drove,his,4,,,,,,,
QAHFTR,1,555,97,He was leaning against,his,4,,,,,,,
QAHFTR,1,584,98,John,gave,5,,,,,,,
QAHFTR,1,61,99,Five will be,listening,1,,,,,,,
QAHFTR,1,1002,100,"The gate was double, one huge mass",of,2,,,,,,,
QAHFTR,1,1468,101,I cant see any amount of talk getting you out of,this,5,,,,,,,
QAHFTR,1,1497,102,Andy felt good when,he,5,,,,,,,
QAHFTR,1,1271,103,Michael knew they never hit him and that,was,5,,,,,,,
QAHFTR,1,220,104,Steve,sat,1,,,,,,,
QAHFTR,1,793,105,Men,could,4,,,,,,,
QAHFTR,1,124,106,She,couldnt,3,,,,,,,
QAHFTR,1,127,107,She couldnt help feel,for,4,,,,,,,
QAHFTR,1,1014,108,"The gathered villagers took a step back, almost as",one,5,,,,,,,
QAHFTR,1,1490,109,I mostly just pick a dry white and drink,it,3,,,,,,,
QAHFTR,1,1322,110,The last thing Alex,felt,4,,,,,,,
QAHFTR,1,1427,111,He let Donald go and he,fell,5,,,,,,,
QAHFTR,1,726,112,His men will not follow,him,4,,,,,,,
QAHFTR,1,504,113,He,heaved,5,,,,,,,
QAHFTR,1,17,114,Helen,ran,2,,,,,,,
QAHFTR,1,1656,115,They say he can breathe fire and kill a man with a single,word.,3,,,,,,,
QAHFTR,1,589,116,John gave Bernard a hard slap,on,5,,,,,,,
QAHFTR,1,1407,117,From the moment we leave this spot be very careful,what,3,,,,,,,
QAHFTR,1,1187,118,In,the,5,,,,,,,
QAHFTR,1,1053,119,You know that I will do whatever you,ask,5,,,,,,,
QAHFTR,1,1544,120,One by one,she,5,,,,,,,
QAHFTR,1,796,121,Men could be paid,to,4,,,,,,,
QAHFTR,1,279,122,The bored looking soldier continued looking,bored.,3,,,,,,,
QAHFTR,1,1330,123,The,truck,5,,,,,,,
QAHFTR,1,1460,124,I cant see,any,3,,,,,,,
QAHFTR,1,504,125,He,heaved,3,,,,,,,
QAHFTR,1,1131,126,He folded his arms across his chest and put out his,lip.,3,,,,,,,
QAHFTR,1,1595,127,If I have time,at,4,,,,,,,
QAHFTR,1,1066,128,A,smile,5,,,,,,,
QAHFTR,1,463,129,There will be men to kill,either,1,,,,,,,
QAHFTR,1,1203,130,In the morning at breakfast Mike,smiled,1,,,,,,,
QAHFTR,1,1061,131,You shouldnt have been racing my,truck,2,,,,,,,
QAHFTR,1,871,132,Despite what Frank had told her,Ellen,3,,,,,,,
QAHFTR,1,490,133,Dont die of,cold,3,,,,,,,
QAHFTR,1,846,134,She would soon be found if she tried to,hide.,5,,,,,,,
QAHFTR,1,819,135,Jacques sighed and tried to move out of the,way.,4,,,,,,,
QAHFTR,1,1592,136,If,I,5,,,,,,,
QAHFTR,1,1527,137,Bob sat at the entrance to the warehouse and made,up,5,,,,,,,
QAHFTR,1,155,138,Alice is,looking,5,,,,,,,
QAHFTR,1,1515,139,Billy knocked on the door and waited till he was,told,2,,,,,,,
QAHFTR,1,692,140,Whether Peter heard him or,not,5,,,,,,,
QAHFTR,1,734,141,Ill break your neck,if,2,,,,,,,
QAHFTR,1,1331,142,The truck,was,4,,,,,,,
QAHFTR,1,1574,143,He rose from his seat and stopped mid way,when,5,,,,,,,
QAHFTR,1,437,144,Tell,me,4,,,,,,,
QAHFTR,1,824,145,Jamie took a cigarette and,Andy,1,,,,,,,
QAHFTR,1,684,146,Underneath the table her hand,was,5,,,,,,,
QAHFTR,1,1089,147,Finally Maria,sat,5,,,,,,,
QAHFTR,1,742,148,Ian gave Geoffrey,a,5,,,,,,,
QAHFTR,1,57,149,A tube train took,his,5,,,,,,,
QAHFTR,1,1130,150,He folded his arms across his chest and put out,his,4,,,,,,,
QAHFTR,1,970,151,Run along home now and,bring,2,,,,,,,
QAHFTR,1,551,152,He smiled when she let out a big,yawn.,5,,,,,,,
QAHFTR,1,566,153,I was thinking of getting the band,together,4,,,,,,,
QAHFTR,1,1697,154,I know Richard drinks a little too much and has a bit of,a,3,,,,,,,
QAHFTR,1,698,155,You give me,a,5,,,,,,,
QAHFTR,1,504,156,He,heaved,2,,,,,,,
QAHFTR,1,1155,157,He was,built,1,,,,,,,
QAHFTR,1,39,158,This mans hair,is,5,,,,,,,
QAHFTR,1,352,159,He slammed the knife down on the,lamb.,4,,,,,,,
QAHFTR,1,1389,160,Bruce is looking for,someone,3,,,,,,,
QAHFTR,1,1045,161,You know better than to talk to your mother like,that.,5,,,,,,,
QAHFTR,1,333,162,He called,out,4,,,,,,,
QAHFTR,1,1537,163,Brian sat down at an empty table and,began,5,,,,,,,
QAHFTR,1,1525,164,Bob sat at the entrance to the warehouse,and,5,,,,,,,
QAHFTR,1,505,165,He heaved,his,4,,,,,,,
QAHFTR,1,36,166,Things were looking up,again.,3,,,,,,,
QAHFTR,1,1531,167,Brian sat,down,5,,,,,,,
QAHFTR,1,1545,168,One by one she,placed,5,,,,,,,
QAHFTR,1,542,169,He sighed and walked back to the,wood,5,,,,,,,
QAHFTR,1,763,170,Jimmy liked the fact they were,calling,3,,,,,,,
QAHFTR,1,820,171,Jamie,took,5,,,,,,,
QAHFTR,1,622,172,Charles felt sick to the pit of,his,5,,,,,,,
QAHFTR,1,358,173,He staggered into the chair at,his,5,,,,,,,
QAHFTR,1,903,174,He held his mother tight and she cried,into,4,,,,,,,
QAHFTR,1,1641,175,The speaker turned to her with a smile and a bow,of,5,,,,,,,
QAHFTR,1,64,176,Gordon,felt,2,,,,,,,
QAHFTR,1,376,177,Let us leave,these,5,,,,,,,
QAHFTR,1,672,178,They,turned,1,,,,,,,
QAHFTR,1,504,179,He,heaved,5,,,,,,,
QAHFTR,1,1140,180,He had another shock when they told him he,was,5,,,,,,,
QAHFTR,1,586,181,John gave Bernard,a,5,,,,,,,
QAHFTR,1,77,182,He needed putting in,his,1,,,,,,,
QAHFTR,1,91,183,Hes broken his,wrists,3,,,,,,,
QAHFTR,1,1347,184,They stared at the black wall and,now,5,,,,,,,
QAHFTR,1,380,185,Let us leave these poor people in,peace.,4,,,,,,,
QAHFTR,1,1576,186,He rose from his seat and stopped mid way when Joe,glared,2,,,,,,,
QAHFTR,1,1043,187,You know better than to talk to your,mother,4,,,,,,,
QAHFTR,1,1229,188,It is not the most fragrant of places but we,make,5,,,,,,,
QAHFTR,1,1619,189,The police,officer,5,,,,,,,
QAHFTR,1,930,190,Ken just hoped he wasnt,taking,3,,,,,,,
QAHFTR,1,1542,191,One,by,1,,,,,,,
QAHFTR,1,199,192,Looks like a walk,did,2,,,,,,,
QAHFTR,1,610,193,Andrew closed the,office,2,,,,,,,
QAHFTR,1,504,194,He,heaved,1,,,,,,,
QAHFTR,1,1249,195,Let us give battle to these foreign snakes,once,4,,,,,,,
QAHFTR,1,835,196,Joseph walked into the office and removed,his,5,,,,,,,
QAHFTR,1,1173,197,"I am trying, old man, but I would rather",kill,3,,,,,,,
QAHFTR,1,174,198,He probably doesnt,want,5,,,,,,,
QAHFTR,1,837,199,Joseph walked into the office and removed his flat,cap.,3,,,,,,,
QAHFTR,1,1153,200,He put his hands in his pockets and leaned against the,truck.,5,,,,,,,
QAHFTR,1,391,201,William sat down and,tucked,2,,,,,,,
QAHFTR,1,1606,202,Henry washed,his,2,,,,,,,
QAHFTR,1,1424,203,He let Donald,go,3,,,,,,,
QAHFTR,1,125,204,She couldnt,help,5,,,,,,,
QAHFTR,1,1709,205,If this were a movie instead of a book this would,be,5,,,,,,,
QAHFTR,1,1443,206,He smiled again and felt like a man and not,just,5,,,,,,,
QAHFTR,1,1318,207,The first knife caught in her skirt and she shook it,free.,2,,,,,,,
QAHFTR,1,687,208,Underneath the table her hand was gripping the,chair.,5,,,,,,,
QAHFTR,1,620,209,Charles felt sick to the,pit,5,,,,,,,
QAHFTR,1,211,210,Scott got up and,washed,5,,,,,,,
QAHFTR,1,1448,211,Hes got the,ability,2,,,,,,,
QAHFTR,1,814,212,Jacques sighed and tried,to,5,,,,,,,
QAHFTR,1,382,213,Walter closed,the,3,,,,,,,
QAHFTR,1,1368,214,Why dont you tell me what,happened,4,,,,,,,
QAHFTR,1,924,215,His helmet was lost but he could still do,some,2,,,,,,,
XCKAFN,1,577,0,Arthur placed,the,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1093,1,Finally Maria sat down with a,cup,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1440,2,He smiled again and felt like a,man,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,988,3,She wound up,talking,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,500,4,"Good God, if you are","watching,",4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1334,5,The truck was an older,version,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1378,6,Emma put her mug of,tea,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,646,7,Dexter opened his letter and found a,photograph,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1202,8,In the morning at breakfast,Mike,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1155,9,He was,built,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,270,10,She hid the,boxes,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,464,11,There will be men to kill either,way.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1516,12,Billy knocked on the door and waited till he was told,to,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1557,13,The shout caught him,off,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,103,14,I dont want to hear,it.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,3,15,Anne lost control,and,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1115,16,He drank too much at times,and,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,198,17,Looks like a,walk,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1550,18,One by one she placed her teeth about their,necks,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,29,19,Roger,smiled,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,298,20,Youre,getting,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,138,21,The campaign will pay for,itself.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,899,22,He held his mother,tight,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,491,23,Dont die of cold,before,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1393,24,Bruce is looking for someone to take the,spare,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1181,25,I shall have a victory and,I,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,616,26,Charles,felt,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1586,27,He sat his son up on the table,and,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,540,28,He sighed and walked back,to,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,904,29,He held his mother tight and she cried into,his,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1112,30,He drank too,much,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1670,31,He came back to his senses when he heard his dad stand up to,him.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,100,32,I dont,want,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,513,33,He is,after,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,399,34,Alec stood against the wall,to,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1627,35,The police officer got out of the van and picked,up,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1207,36,In the morning at breakfast Mike smiled at the letter,he,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,782,37,Phil let him go and Charlie fell to,the,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1352,38,We,should,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,68,39,Gordon felt his anger build,up.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,206,40,Sam felt proud when he,went,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1235,41,James walked in to wake,Samuel,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1625,42,The police officer got out of the van,and,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1594,43,If I have,time,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,849,44,The brothers stood,up,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,675,45,They turned round just,as,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,504,46,He,heaved,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,538,47,He sighed and,walked,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,123,48,Ross sat back down and,shivered.,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,504,49,He,heaved,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1511,50,Billy knocked on the door and,waited,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1126,51,He folded his arms across his,chest,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1445,52,He smiled again and felt like a man and not just the,kid.,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,394,53,William sat down and tucked into his,breakfast.,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1458,54,I,cant,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,87,55,He uses his belt,on,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1296,56,Now the man is coming who will give it back to,me.,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1300,57,She threatened to leave,before,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1272,58,Michael knew they never hit him and that was,half,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1601,59,If I have time at the end Ill fill you,in,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1506,60,Billy,knocked,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1403,61,From the moment we leave this,spot,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1111,62,He drank,too,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,504,63,He,heaved,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,990,64,She wound up talking to,Barry,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,185,65,Ill give,him,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,366,66,I do not spare the birds a,killing.,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,909,67,He went to the,door,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,240,68,Tom stood up,and,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,967,69,Run along,home,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,343,70,He sat down and began,to,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1588,71,He sat his son up on the table and laid,his,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1107,72,He didnt seem to mind that she was screaming,in,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,504,73,He,heaved,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1017,74,We shall,arrive,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1060,75,You shouldnt have been racing,my,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,208,76,Scott,got,1,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1630,77,The police officer got out of the van and picked up the two,cans.,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1604,78,If I have time at the end Ill fill you in on what,happened.,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,506,79,He heaved his,shoulders,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,852,80,The brothers stood up and came,down,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,629,81,Christopher groaned and lay his hands,across,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1306,82,She threatened to leave before and this time she just,had,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1614,83,Henry washed his hands and sat on the seat in,front,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1348,84,They stared at the black wall and now,this,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1613,85,Henry washed his hands and sat on the seat,in,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1635,86,The speaker turned to her,with,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,549,87,He smiled when she let out,a,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1283,88,Alan told Jason he would just sit outside to,have,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1469,89,I cant see any amount of talk getting you out of this,mess.,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1706,90,If this were a movie instead of a,book,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1551,91,One by one she placed her teeth about their necks,and,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1022,92,We shall arrive properly or you will,never,3,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,205,93,Sam felt proud when,he,5,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,1150,94,He put his hands in his pockets and,leaned,2,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
XCKAFN,1,997,95,The gate,was,4,30.0,Female,High school diploma/A-levels,,United Kingdom,United Kingdom,United Kingdom
