Recommended Column Name,Description
name_agreement,Percentage of participants giving the modal name for the image (0-100).
nationality,Participant's self-reported nationality.
nonobject_osullivan_et_al,Count of non-object / unrelated responses per Oâ€™Sullivan coding scheme.
Normalised_H_statistic,H-statistic normalised for sample-size differences.
not_in_subtlex_uk,Flag if word not found in SUBTLEX-UK frequency resource.
object,Object identifier (concept depicted by the image).
olfactory_rating,Participant's olfactory perceptual-strength rating for the stimulus.
other_languages,"Languages learned after the first language, optionally with proficiency level."
paragraph_id,Identifier of a paragraph within its article or text.
part_of_speech,Part of speech of the presented stimulus.
participant_id,Unique identifier assigned to each participant.
phase_id,"Identifier for the experimental phase or block a trial belongs to (e.g., practice, test, recall)."
physically_dissimilar,Flag/score indicating physical dissimilarity of image variants.
pos_predictability,Proportion of cloze responses matching the word's part of speech (0-1).
position_type,Whether the probed letter sat inside the letter string (internal) or at one of its ends (external).
predictability,"Participant's rating of how easily the compound's meaning can be inferred from its two constituents (integer, 0â€“5; 0 = not at all, 5 = greatly)."
prime,"Prime stimulus presented before the target, typically briefly and masked in priming paradigms."
prime_code,Positional code describing how a prime was derived from its target (e.g. 123d56 = a random letter substituted at position 4 of a six-letter target).
question,Comprehension question asked about the preceding stimulus.
question_rt,"Time spent reading the question, in milliseconds."
response,Participant's response
response1,First association response (for association tasks)
response2,Second association response (for association tasks)
response_correct,Whether the participant's response was correct. A synonym of accuracy; prefer accuracy in new submissions.
response_corrected,Cleaned / corrected response (spelling normalized).
response_position,On-screen position of the answer the participant selected.
responseProductionFreq,Production frequency (how many participants produced the response).
responseProductionFreq_non_outlier,Production freq after outlier removal.
responseWordFreq,Frequency of the individual response word.
responseWordLength,Number of characters in individual response.
responseX,"Naming pattern, not a literal column: response1, response2, ... hold the 1st, 2nd, ... response in tasks that collect several responses per trial (free association, multi-dimensional ratings)."
round_time_limit,"Time allowed for one round, in milliseconds."
rt,"Time taken by the participant to respond, in milliseconds."
rt_measure,"Which latency rt records, so values from different paradigms are not pooled blindly. One of: keypress (stimulus-locked key or button press latency); voice_onset (time from stimulus onset to speech onset, scored from the microphone); reading_time (self-paced reading time, or eye-tracking dwell time on the word); first_fixation (duration of the first fixation on the word); inter_response_interval (time since the participant's previous response); session_elapsed (cumulative time since the session began -- not a response latency)."
run_count,Number of separate runs of fixations on a word (eye-tracking).
sentence_number,Index of the sentence containing a word within its text or passage.
session_id,Unique identifier for an experimental or survey session.
session_no,"Sequential index of the session within a participant, starting at 1. Distinct from session_id, which is a unique identifier rather than an ordinal."
soa,Stimulus onset asynchrony in milliseconds: the delay between the onset of a prime or distractor and the onset of the target.
spelling_score,Participant's score on a spelling test administered alongside the main task.
start_time,Timestamp when the participant started the survey session (YYYY-MM-DD HH:MM:SS).
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
stimulus_length,Number of characters in the presented stimulus.
stimulus_translation,"English translation of the presented Italian stimulus, when applicable."
stimulus_type,"Type or category of the presented stimulus, such as word or pseudoword."
target_letter,The letter that actually occurred at the probed position of the stimulus; the correct alternative in a forced choice between two letters.
target_word,The target word that participants rated for expectedness (from https://doi.org/10.3758/s13428-024-02379-9)
text_id,Identifier of the text or passage presented on a trial.
trial_id,"Identifier of one trial for one participant. Use trial_order for the position within a participant, and item_id for the stimulus."
trial_label,"A readable label for the trial, such as a phase prefix plus the position. Not an identifier: the same value recurs for every participant, so join on (participant_id, trial_order) instead."
trial_order,"Position of the trial within the participant, in presentation order."
unknown_osullivan_et_al,Count of responses coded 'unknown' per O'Sullivan coding scheme.
unknown_word,Binary indicator of whether the participant reported not knowing the meaning of the stimulus.
valence,Participant's affective valence rating for the stimulus.
visual_rating,Participant's visual perceptual-strength rating for the stimulus.
vocabulary_score,Participant's score on a vocabulary test administered alongside the main task.
word,The word text shown at this position. Used by studies that present running text; single-item studies use stimulus.
word_class,Whether a word is a content word or a function word.
word_in_sentence_number,Position of a word within its sentence.
word_length,Number of characters in the presented word.
word_position,Position of a word within the text or sentence it belongs to (1-based).
worst,Participant's 'worst' choice string (from https://doi.org/10.1037/rev0000392)
