participant_id,phase_id,trial_order,list,stimulus,condition,catch,response,accuracy,rt,age,rt_measure
0AiLv,4,362,15,eiofpwg,NW,test,non-word,1,536,39,keypress
0AiLv,4,390,10,pharity,SPW,test,non-word,1,730,39,keypress
0AiLv,2,150,10,wretchant,CPW,test,non-word,1,695,39,keypress
0AiLv,2,199,10,uoeou,NW,test,non-word,1,488,39,keypress
0AiLv,4,400,15,mirrenfer,SPW,test,non-word,1,717,39,keypress
0AiLv,4,402,15,ripente,SPW,test,non-word,1,648,39,keypress
0AiLv,3,203,10,nightie,CW,test,word,1,967,39,keypress
0AiLv,4,398,10,crimson,SW,test,word,1,732,39,keypress
0AiLv,4,397,10,century,SW,test,word,1,675,39,keypress
0AiLv,2,194,10,fruity,CW,test,word,1,609,39,keypress
0AiLv,2,195,10,mindful,CW,test,word,1,593,39,keypress
0AiLv,4,395,11,victoral,CPW,test,non-word,1,956,39,keypress
0AiLv,3,240,15,qcduo,NW,test,non-word,1,482,39,keypress
0AiLv,3,270,11,bnyugnr,NW,test,non-word,1,533,39,keypress
0AiLv,3,237,15,pilferness,CPW,test,non-word,1,853,39,keypress
0AiLv,4,358,15,ranger,CW,test,word,1,607,39,keypress
0AiLv,3,223,11,itix,SPW,test,non-word,1,635,39,keypress
0AiLv,3,239,15,utterance,CW,test,word,1,1218,39,keypress
0AiLv,3,275,11,smelment,CPW,test,non-word,1,700,39,keypress
0AiLv,1,77,11,nnhpdi,NW,test,non-word,1,490,39,keypress
0AiLv,1,78,11,acutely,CW,test,word,1,627,39,keypress
0AiLv,4,397,11,medalless,CPW,test,non-word,1,676,39,keypress
0AiLv,1,26,10,victor,SW,test,word,1,719,39,keypress
0AiLv,4,359,15,ashen,CW,test,word,1,876,39,keypress
0AiLv,4,361,15,conveyor,CW,test,word,1,838,39,keypress
0AiLv,3,271,11,becy,SPW,test,non-word,1,652,39,keypress
0AiLv,3,274,11,ieeoi,NW,test,non-word,1,541,39,keypress
0AiLv,3,222,11,ntehehb,NW,test,non-word,1,557,39,keypress
0AiLv,3,259,15,gpnvuh,NW,test,non-word,1,486,39,keypress
0AiLv,2,153,10,sleet,SW,test,word,1,629,39,keypress
0AiLv,4,393,11,chaise,SW,test,non-word,0,959,39,keypress
0AiLv,2,195,11,ketmugbm,NW,catch,non-word,1,557,39,keypress
0AiLv,4,399,10,blune,SPW,test,non-word,1,693,39,keypress
0AiLv,2,197,11,quitable,CPW,test,word,0,918,39,keypress
0AiLv,1,66,15,frience,CPW,test,non-word,1,822,39,keypress
0AiLv,1,23,11,ltltbt,NW,test,non-word,1,487,39,keypress
0AiLv,1,68,15,bebsin,SPW,test,non-word,1,557,39,keypress
0AiLv,4,360,15,humanly,CW,test,word,1,622,39,keypress
0AiLv,3,236,15,designer,CW,test,word,1,608,39,keypress
0AiLv,4,337,10,ornery,SW,test,non-word,0,858,39,keypress
0AiLv,4,357,15,lhkrhir,NW,test,non-word,1,507,39,keypress
0AiLv,2,152,10,mental,SW,test,word,1,777,39,keypress
0AiLv,3,251,15,gown,SW,test,word,1,679,39,keypress
0AiLv,3,232,15,joctor,SPW,test,non-word,1,727,39,keypress
0AiLv,3,213,10,defeatity,CPW,test,non-word,1,1182,39,keypress
0AiLv,2,191,11,bridal,CW,test,word,1,745,39,keypress
0AiLv,2,192,11,minor,SW,test,word,1,666,39,keypress
0AiLv,4,394,15,moratorium,SW,test,word,1,861,39,keypress
0AiLv,4,339,10,worsen,CW,test,word,1,652,39,keypress
0AiLv,4,395,15,perkment,CPW,test,non-word,1,751,39,keypress
0AiLv,4,313,10,ilgstai,NW,test,non-word,1,543,39,keypress
0AiLv,2,192,10,littleness,CW,test,non-word,0,1132,39,keypress
0AiLv,1,70,15,sinner,CW,test,word,1,587,39,keypress
0AiLv,3,250,15,puffy,CW,test,word,1,643,39,keypress
0AiLv,3,249,15,modifial,CPW,test,non-word,1,713,39,keypress
0AiLv,3,300,11,taier,SPW,test,non-word,1,697,39,keypress
0AiLv,3,260,15,oceanic,CW,test,non-word,0,722,39,keypress
0AiLv,3,269,11,lapse,SW,test,word,1,649,39,keypress
0AiLv,4,394,11,infest,SW,test,word,1,649,39,keypress
0AiLv,4,392,10,clean,SW,catch,word,1,572,39,keypress
0AiLv,2,198,11,utvttw,NW,test,non-word,1,506,39,keypress
0AiLv,4,385,10,cynicism,CW,test,word,1,684,39,keypress
0AiLv,1,21,11,hwbnlc,NW,test,non-word,1,520,39,keypress
0AiLv,4,396,15,hyphenate,CW,test,word,1,1307,39,keypress
0AiLv,3,273,11,traceable,CW,test,word,1,688,39,keypress
0AiLv,3,209,10,siftless,CPW,test,non-word,1,1299,39,keypress
0AiLv,4,385,15,equipment,CW,test,word,1,665,39,keypress
0AiLv,3,299,11,limbity,CPW,test,non-word,1,791,39,keypress
0AiLv,4,311,10,chanflil,SPW,test,non-word,1,709,39,keypress
0AiLv,2,191,10,aosmtgf,NW,test,non-word,1,562,39,keypress
0AiLv,2,191,15,uwwj,NW,test,non-word,1,524,39,keypress
0AiLv,3,233,15,chant,SW,test,word,1,733,39,keypress
0AiLv,4,399,15,sickence,CPW,test,non-word,1,780,39,keypress
0AiLv,2,193,11,toad,SW,test,word,1,612,39,keypress
0AiLv,1,75,11,trendity,CPW,test,non-word,1,834,39,keypress
0AiLv,3,244,15,chesty,CW,test,word,1,933,39,keypress
0AiLv,1,22,11,howlism,CPW,test,non-word,1,762,39,keypress
0AiLv,1,65,15,informer,CW,test,word,1,710,39,keypress
0AiLv,2,189,15,iotudnhwi,NW,catch,non-word,1,491,39,keypress
0AiLv,4,312,10,hookor,CPW,test,non-word,1,801,39,keypress
0AiLv,2,190,15,lucurnt,SPW,test,non-word,1,717,39,keypress
0AiLv,3,248,15,abruptness,CW,test,word,1,950,39,keypress
0AiLv,4,376,15,avose,SPW,test,non-word,1,677,39,keypress
0AiLv,3,252,15,borrowion,CPW,test,non-word,1,726,39,keypress
0AiLv,3,212,10,pilferate,CPW,test,word,0,1308,39,keypress
0AiLv,4,332,10,savagely,CW,test,word,1,686,39,keypress
0AiLv,3,232,10,knods,SPW,test,non-word,1,916,39,keypress
0AiLv,1,25,10,ohnmeei,NW,test,non-word,1,534,39,keypress
0AiLv,4,391,11,aversate,CPW,test,non-word,1,746,39,keypress
0AiLv,4,308,11,ewfera,SPW,test,non-word,1,496,39,keypress
0AiLv,3,204,10,cancelery,CPW,test,non-word,1,764,39,keypress
0AiLv,3,206,10,surkeet,SPW,test,non-word,1,1100,39,keypress
0AiLv,3,208,10,coarder,SPW,test,non-word,1,803,39,keypress
0AiLv,3,207,10,hurriedly,CW,test,word,1,1111,39,keypress
0AiLv,1,10,15,assailery,CPW,test,non-word,1,743,39,keypress
0AiLv,3,217,11,rumple,SW,test,non-word,0,1001,39,keypress
0AiLv,4,386,15,stinky,CW,test,word,1,624,39,keypress
0AiLv,3,221,10,palatine,SW,test,word,1,1050,39,keypress
0AiLv,4,389,10,modulify,CPW,test,non-word,1,947,39,keypress
0AiLv,1,22,10,yyyc,NW,test,non-word,1,499,39,keypress
0AiLv,4,401,15,popinjay,SW,test,non-word,0,568,39,keypress
0AiLv,4,348,10,ddoyaowa,NW,test,non-word,1,470,39,keypress
0AiLv,4,365,15,ysdrcl,NW,test,non-word,1,461,39,keypress
0AiLv,3,225,11,wretchify,CPW,test,word,0,889,39,keypress
0AiLv,3,220,10,zoom,SW,test,word,1,597,39,keypress
0AiLv,1,24,11,aglkldgh,NW,test,non-word,1,472,39,keypress
0AiLv,4,336,10,scorer,CW,test,word,1,955,39,keypress
0AiLv,3,266,10,ffhj,NW,test,non-word,1,474,39,keypress
0AiLv,3,270,10,organic,CW,test,word,1,647,39,keypress
0AiLv,1,69,15,limousine,SW,test,word,1,785,39,keypress
0AiLv,4,309,10,assassin,SW,test,word,1,708,39,keypress
0AiLv,1,71,15,findment,CPW,test,non-word,1,807,39,keypress
0AiLv,4,398,11,peevish,CW,test,non-word,0,898,39,keypress
0AiLv,4,393,10,largo,SW,test,non-word,0,1034,39,keypress
0AiLv,1,24,10,crook,SW,test,word,1,526,39,keypress
0AiLv,4,307,11,reprieve,SW,test,word,1,760,39,keypress
0AiLv,3,249,11,torch,SW,test,word,1,639,39,keypress
0AiLv,3,227,11,looter,CW,test,word,1,633,39,keypress
0AiLv,1,81,11,hamster,SW,test,word,1,686,39,keypress
0AiLv,3,228,11,eventful,CW,test,word,1,758,39,keypress
0AiLv,3,205,10,ebeyte,SPW,test,non-word,1,635,39,keypress
0AiLv,3,251,11,perforate,SW,test,word,1,782,39,keypress
0AiLv,3,247,15,butterist,CPW,test,non-word,1,776,39,keypress
0AiLv,4,377,15,totally,CW,catch,word,1,644,39,keypress
0AiLv,4,378,15,terts,SPW,test,non-word,1,789,39,keypress
0AiLv,4,381,15,puzza,SPW,test,non-word,1,793,39,keypress
0AiLv,2,154,10,ngmehfytm,NW,catch,non-word,1,515,39,keypress
0AiLv,2,155,10,iuykdtyu,NW,catch,non-word,1,469,39,keypress
0AiLv,4,400,10,insipid,SW,test,word,1,874,39,keypress
0AiLv,4,393,15,trendness,CPW,test,non-word,1,808,39,keypress
0AiLv,3,247,11,creator,CW,test,word,1,717,39,keypress
0AiLv,4,335,10,loyalant,CPW,test,non-word,1,761,39,keypress
0AiLv,3,246,11,reptur,SPW,test,non-word,1,703,39,keypress
0AiLv,4,334,10,garlant,SPW,test,non-word,1,714,39,keypress
0AiLv,3,297,11,shun,SW,test,word,1,836,39,keypress
0AiLv,3,298,11,efyj,NW,test,non-word,1,565,39,keypress
0AiLv,1,51,10,barkish,CPW,test,non-word,1,707,39,keypress
0AiLv,4,387,15,rich,SW,catch,word,1,686,39,keypress
0AiLv,2,149,10,blurry,CW,test,word,1,698,39,keypress
0AiLv,4,392,11,copane,SPW,test,non-word,1,705,39,keypress
0AiLv,1,23,10,berlop,SPW,test,non-word,1,797,39,keypress
0AiLv,2,188,15,zawoo,SPW,test,non-word,1,686,39,keypress
0AiLv,1,74,11,provely,CPW,test,non-word,1,1017,39,keypress
0AiLv,4,388,10,flunkey,SW,test,non-word,0,1124,39,keypress
0AiLv,4,384,10,tobacco,SW,test,word,1,625,39,keypress
0AiLv,3,219,10,reputedly,CW,test,word,1,1103,39,keypress
0AiLv,1,63,15,deadly,CW,test,word,1,643,39,keypress
0AiLv,1,64,15,steer,SW,test,word,1,739,39,keypress
0AiLv,3,263,10,briefly,CW,test,word,1,646,39,keypress
0AiLv,2,190,10,motherly,CW,test,word,1,712,39,keypress
0AiLv,1,25,11,jonx,SPW,test,non-word,1,652,39,keypress
0AiLv,2,190,11,oracle,SW,test,word,1,605,39,keypress
0AiLv,3,228,15,adacs,SPW,test,non-word,1,545,39,keypress
0AiLv,3,229,15,leotard,SW,test,word,1,980,39,keypress
0AiLv,3,230,15,ihltwegh,NW,test,non-word,1,473,39,keypress
0AiLv,4,392,15,darkies,CW,test,non-word,0,728,39,keypress
0AiLv,1,79,11,jobbist,CPW,test,non-word,1,646,39,keypress
0AiLv,3,245,15,barhirin,SPW,test,non-word,1,474,39,keypress
0AiLv,4,303,11,hook,SW,test,word,1,525,39,keypress
0AiLv,1,80,11,gleeful,CW,test,word,1,690,39,keypress
0AiLv,3,250,11,livelity,SPW,test,non-word,1,1176,39,keypress
0AiLv,1,82,11,angrily,CW,test,word,1,830,39,keypress
0AiLv,3,246,15,blackness,CW,test,word,1,1166,39,keypress
0AiLv,1,85,11,akfyuvaep,NW,catch,non-word,1,496,39,keypress
0AiLv,1,86,11,positence,CPW,test,non-word,1,729,39,keypress
0AiLv,3,210,10,lewdness,CW,test,word,1,1058,39,keypress
0AiLv,3,214,10,roomy,CW,test,word,1,698,39,keypress
0AiLv,4,333,10,smish,SPW,test,non-word,1,750,39,keypress
0AiLv,3,231,15,salivous,CPW,test,non-word,1,667,39,keypress
0AiLv,4,387,10,waffle,SW,test,word,1,579,39,keypress
0AiLv,4,302,11,pilferen,CPW,test,non-word,1,740,39,keypress
0AiLv,2,199,11,wribs,SPW,test,non-word,1,703,39,keypress
0AiLv,4,384,15,goster,SPW,test,non-word,1,683,39,keypress
0AiLv,1,93,11,vector,SW,test,word,1,635,39,keypress
0AiLv,3,216,11,elude,SW,test,word,1,635,39,keypress
0AiLv,4,338,11,idealism,CW,test,word,1,628,39,keypress
0AiLv,4,336,11,ojlmtt,NW,test,non-word,1,496,39,keypress
0AiLv,1,14,15,etscvv,NW,test,non-word,1,495,39,keypress
0AiLv,4,390,15,ntnso,NW,test,non-word,1,553,39,keypress
0AiLv,4,391,15,grindate,CPW,test,non-word,1,694,39,keypress
0AiLv,2,187,15,gmsgvf,NW,test,non-word,1,474,39,keypress
0AiLv,1,21,10,thrower,CW,test,word,1,713,39,keypress
0AiLv,1,73,11,climb,SW,test,word,1,644,39,keypress
0AiLv,4,317,11,sorter,CW,test,word,1,575,39,keypress
0AiLv,4,389,15,barren,SW,test,word,1,654,39,keypress
0AiLv,3,224,10,clammy,CW,test,word,1,762,39,keypress
0AiLv,3,226,11,oydyoiua,NW,test,non-word,1,480,39,keypress
0AiLv,1,25,15,stander,CW,test,word,1,1240,39,keypress
0AiLv,3,229,11,aloof,SW,test,word,1,772,39,keypress
0AiLv,3,264,10,jay,SW,test,word,1,856,39,keypress
0AiLv,4,308,10,cloudy,CW,test,word,1,854,39,keypress
0AiLv,3,269,10,voullotide,SPW,test,non-word,1,711,39,keypress
0AiLv,4,344,10,nakeden,CPW,test,non-word,1,773,39,keypress
0AiLv,3,231,10,monthly,CW,test,word,1,595,39,keypress
0AiLv,4,345,10,punch,SW,test,word,1,585,39,keypress
0AiLv,1,19,10,uoihyouabc,NW,catch,non-word,1,547,39,keypress
0AiLv,3,218,10,meow,SW,test,word,1,799,39,keypress
0AiLv,4,338,10,killance,CPW,test,non-word,1,673,39,keypress
0AiLv,2,121,10,repeater,CW,test,word,1,610,39,keypress
0AiLv,4,318,11,cryth,SPW,test,non-word,1,733,39,keypress
0AiLv,4,367,15,rwwfyn,NW,test,non-word,1,504,39,keypress
0AiLv,3,248,11,ewnnhtmh,NW,test,non-word,1,489,39,keypress
0AiLv,1,3,10,wanderic,CPW,test,non-word,1,766,39,keypress
0AiLv,4,374,15,occupation,CW,test,word,1,684,39,keypress
0AiLv,4,375,15,epivel,SPW,test,non-word,1,922,39,keypress
0AiLv,1,87,11,whiteness,CW,test,word,1,1103,39,keypress
0AiLv,4,331,10,clueable,CPW,test,non-word,1,1008,39,keypress
0AiLv,3,215,11,calico,SW,test,non-word,0,561,39,keypress
0AiLv,4,346,10,sari,SW,test,non-word,0,488,39,keypress
0AiLv,4,301,11,builder,CW,test,word,1,579,39,keypress
0AiLv,1,72,11,shootism,CPW,test,non-word,1,941,39,keypress
0AiLv,1,94,11,wheel,SW,test,word,1,604,39,keypress
0AiLv,3,256,15,legit,SW,test,word,1,637,39,keypress
0AiLv,3,257,15,browse,SW,test,word,1,600,39,keypress
0AiLv,1,9,15,cracker,CW,test,word,1,595,39,keypress
0AiLv,3,296,10,helily,SPW,test,non-word,1,664,39,keypress
0AiLv,3,297,10,honixter,SPW,test,non-word,1,558,39,keypress
0AiLv,3,298,10,findate,CPW,test,non-word,1,644,39,keypress
0AiLv,4,388,15,platity,CPW,test,non-word,1,715,39,keypress
0AiLv,3,268,11,shuck,SW,test,word,1,922,39,keypress
0AiLv,1,20,10,astoke,SPW,test,non-word,1,810,39,keypress
0AiLv,2,148,10,loosist,CPW,test,non-word,1,582,39,keypress
0AiLv,4,347,10,brainy,CW,test,word,1,623,39,keypress
0AiLv,3,216,10,cobra,SW,test,word,1,618,39,keypress
0AiLv,2,147,10,howl,SW,test,word,1,570,39,keypress
0AiLv,2,186,15,roubt,SPW,test,non-word,1,776,39,keypress
0AiLv,1,20,11,secondly,CW,test,word,1,695,39,keypress
0AiLv,1,19,11,ttlfuio,NW,test,non-word,1,510,39,keypress
0AiLv,3,261,10,idttjuoai,NW,catch,non-word,1,468,39,keypress
0AiLv,4,310,10,reprise,SW,test,word,1,777,39,keypress
0AiLv,4,302,15,oghtbh,NW,test,non-word,1,520,39,keypress
0AiLv,3,227,15,kleemotia,SPW,test,non-word,1,564,39,keypress
0AiLv,3,267,10,fvtmjc,NW,test,non-word,1,463,39,keypress
0AiLv,1,26,11,fgvtli,NW,test,non-word,1,501,39,keypress
0AiLv,2,192,15,ravishism,CPW,test,non-word,1,861,39,keypress
0AiLv,4,305,11,bag,SW,catch,word,1,564,39,keypress
0AiLv,3,224,11,cord,SW,test,word,1,672,39,keypress
0AiLv,3,234,11,chief,SW,catch,word,1,549,39,keypress
0AiLv,1,66,10,deserter,CW,test,word,1,845,39,keypress
0AiLv,2,120,10,smite,SW,test,word,1,654,39,keypress
0AiLv,2,123,10,laugh,SW,catch,word,1,547,39,keypress
0AiLv,2,200,11,searcher,CW,test,word,1,661,39,keypress
0AiLv,4,317,10,dibdy,SPW,test,non-word,1,551,39,keypress
0AiLv,3,252,11,ntthhnt,NW,test,non-word,1,541,39,keypress
0AiLv,3,253,11,fluctuate,SW,test,word,1,787,39,keypress
0AiLv,3,209,11,excusish,CPW,test,non-word,1,825,39,keypress
0AiLv,3,211,10,flagewcat,SPW,test,non-word,1,763,39,keypress
0AiLv,3,255,15,nwlvrsytn,NW,catch,non-word,1,482,39,keypress
0AiLv,1,27,10,digger,CW,test,word,1,567,39,keypress
0AiLv,1,28,10,klhgkthgu,NW,catch,non-word,1,507,39,keypress
0AiLv,1,92,11,uhiohmho,NW,test,non-word,1,529,39,keypress
0AiLv,3,258,15,thrims,SPW,test,non-word,1,701,39,keypress
0AiLv,3,296,11,feasible,CW,test,word,1,681,39,keypress
0AiLv,3,295,11,acid,SW,test,word,1,716,39,keypress
0AiLv,1,97,15,repelish,CPW,test,non-word,1,999,39,keypress
0AiLv,4,332,11,imnogescer,SPW,test,non-word,1,767,39,keypress
0AiLv,4,335,11,gentlous,CPW,test,non-word,1,715,39,keypress
0AiLv,1,85,10,payer,CW,test,word,1,890,39,keypress
0AiLv,3,218,11,nobly,CW,test,word,1,1226,39,keypress
0AiLv,3,221,11,flounder,SW,test,word,1,716,39,keypress
0AiLv,1,19,15,civility,CW,test,word,1,895,39,keypress
0AiLv,4,306,11,enneddle,SPW,test,non-word,1,848,39,keypress
0AiLv,1,18,15,satire,SW,test,word,1,608,39,keypress
0AiLv,2,146,10,wishful,CW,test,word,1,681,39,keypress
0AiLv,1,55,10,twitcher,CW,test,word,1,983,39,keypress
0AiLv,2,105,15,urn,SW,test,word,1,663,39,keypress
0AiLv,2,106,15,tip,SW,test,word,1,594,39,keypress
0AiLv,1,56,10,honver,SPW,test,non-word,1,547,39,keypress
0AiLv,4,309,11,collys,SPW,test,non-word,1,791,39,keypress
0AiLv,4,301,15,eaned,SPW,test,non-word,1,936,39,keypress
0AiLv,4,306,10,kidnapper,CW,test,word,1,667,39,keypress
0AiLv,3,268,10,decrepit,SW,test,word,1,900,39,keypress
0AiLv,4,355,15,attay,SPW,test,non-word,1,753,39,keypress
0AiLv,4,356,15,wispy,CW,test,word,1,735,39,keypress
0AiLv,1,68,11,promptness,CW,test,word,1,774,39,keypress
0AiLv,1,69,11,stunt,SW,test,word,1,708,39,keypress
0AiLv,1,70,11,ghee,SW,test,word,1,1522,39,keypress
0AiLv,1,71,11,iwsht,NW,test,non-word,1,871,39,keypress
0AiLv,4,316,11,helper,CW,test,word,1,600,39,keypress
0AiLv,4,349,10,tasty,CW,test,word,1,585,39,keypress
0AiLv,4,366,15,dilation,CW,test,word,1,736,39,keypress
0AiLv,3,241,11,deguit,SPW,test,non-word,1,710,39,keypress
0AiLv,3,245,11,kicker,CW,test,word,1,683,39,keypress
0AiLv,4,372,15,sleetery,CPW,test,non-word,1,776,39,keypress
0AiLv,4,370,15,threatance,CPW,test,non-word,1,952,39,keypress
0AiLv,1,83,11,admission,CW,test,word,1,635,39,keypress
0AiLv,4,379,15,striss,SPW,test,non-word,1,885,39,keypress
0AiLv,4,380,15,dircy,SPW,test,non-word,1,771,39,keypress
0AiLv,3,215,10,dstyowa,NW,test,non-word,1,558,39,keypress
0AiLv,3,217,10,finishous,CPW,test,non-word,1,894,39,keypress
0AiLv,1,90,11,sturold,SPW,test,non-word,1,664,39,keypress
0AiLv,4,383,15,stronger,CW,test,word,1,671,39,keypress
0AiLv,4,328,10,impasse,SW,test,word,1,752,39,keypress
0AiLv,1,8,15,expiry,CW,test,word,1,768,39,keypress
0AiLv,1,7,15,must,SW,catch,word,1,666,39,keypress
0AiLv,1,98,15,officity,CPW,test,non-word,1,1049,39,keypress
0AiLv,1,47,10,uhogj,NW,test,non-word,1,524,39,keypress
0AiLv,1,49,10,ayhtt,NW,test,non-word,1,488,39,keypress
0AiLv,4,337,11,speechless,CW,test,word,1,998,39,keypress
0AiLv,1,95,11,ploddent,CPW,test,non-word,1,664,39,keypress
0AiLv,3,267,11,doctorate,CW,test,word,1,958,39,keypress
0AiLv,3,222,10,washable,CW,test,word,1,614,39,keypress
0AiLv,2,145,10,toreador,SW,test,non-word,0,606,39,keypress
0AiLv,2,180,10,jailary,CPW,test,non-word,1,797,39,keypress
0AiLv,1,97,11,betrayer,CW,test,word,1,759,39,keypress
0AiLv,1,20,15,rsnavtv,NW,test,non-word,1,578,39,keypress
0AiLv,1,98,11,granny,CW,test,word,1,626,39,keypress
0AiLv,3,225,10,rswdjo,NW,test,non-word,1,482,39,keypress
0AiLv,3,226,10,ravishant,CPW,test,non-word,1,739,39,keypress
0AiLv,4,340,10,richous,CPW,test,non-word,1,798,39,keypress
0AiLv,3,230,11,harmful,CW,test,word,1,543,39,keypress
0AiLv,2,189,10,really,CW,catch,word,1,592,39,keypress
0AiLv,4,398,15,fancy,SW,test,word,1,550,39,keypress
0AiLv,3,230,10,obmhlfho,NW,test,non-word,1,533,39,keypress
0AiLv,1,30,15,advisor,CW,test,word,1,608,39,keypress
0AiLv,2,112,10,singable,CW,test,word,1,924,39,keypress
0AiLv,2,113,10,dicey,CW,test,word,1,723,39,keypress
0AiLv,2,114,10,rust,SW,test,word,1,624,39,keypress
0AiLv,2,115,10,regardless,CW,test,word,1,675,39,keypress
0AiLv,3,277,11,struesed,SPW,test,non-word,1,829,39,keypress
0AiLv,1,67,10,ionized,CW,test,word,1,849,39,keypress
0AiLv,1,68,10,aoiuocf,NW,test,non-word,1,541,39,keypress
0AiLv,4,320,11,sequence,SW,test,word,1,1182,39,keypress
0AiLv,1,1,10,coleslaw,SW,test,word,1,694,39,keypress
0AiLv,1,4,10,normness,CPW,test,non-word,1,1197,39,keypress
0AiLv,1,5,10,shorn,SW,test,non-word,0,919,39,keypress
0AiLv,3,210,11,crawlful,CPW,test,non-word,1,1067,39,keypress
0AiLv,1,88,11,coitus,SW,test,non-word,0,738,39,keypress
0AiLv,1,91,11,clappance,CPW,test,non-word,1,768,39,keypress
0AiLv,4,382,15,htbytkl,NW,test,non-word,1,558,39,keypress
0AiLv,3,213,11,baslet,SPW,test,non-word,1,612,39,keypress
0AiLv,4,330,10,wretchment,CPW,test,non-word,1,922,39,keypress
0AiLv,1,95,15,mud,SW,test,word,1,544,39,keypress
0AiLv,3,294,11,ehfgpr,NW,test,non-word,1,474,39,keypress
0AiLv,3,260,11,onetion,SPW,test,non-word,1,643,39,keypress
0AiLv,4,331,11,talkist,CPW,test,non-word,1,1121,39,keypress
0AiLv,1,81,10,cogentize,CPW,test,non-word,1,1067,39,keypress
0AiLv,4,333,11,tactade,SPW,test,non-word,1,938,39,keypress
0AiLv,1,50,10,stew,SW,test,word,1,565,39,keypress
0AiLv,1,11,15,simplify,CW,test,word,1,669,39,keypress
0AiLv,3,261,15,epmyoc,NW,test,non-word,1,487,39,keypress
0AiLv,3,266,11,travail,SW,test,non-word,0,697,39,keypress
0AiLv,1,16,15,waxary,CPW,test,non-word,1,733,39,keypress
0AiLv,1,96,11,tuition,SW,test,word,1,701,39,keypress
0AiLv,1,18,10,yygwck,NW,test,non-word,1,511,39,keypress
0AiLv,4,386,10,copperly,CPW,test,non-word,1,1093,39,keypress
0AiLv,4,382,10,coarsor,CPW,test,word,0,1057,39,keypress
0AiLv,4,383,10,zoo,SW,test,word,1,541,39,keypress
0AiLv,1,62,15,iyubyl,NW,test,non-word,1,545,39,keypress
0AiLv,3,300,15,wisist,CPW,test,word,0,1238,39,keypress
0AiLv,2,133,11,tushle,SPW,test,non-word,1,610,39,keypress
0AiLv,2,134,11,rival,SW,test,word,1,659,39,keypress
0AiLv,3,265,10,toadful,CPW,test,non-word,1,847,39,keypress
0AiLv,4,304,15,adjacent,SW,test,word,1,658,39,keypress
0AiLv,3,271,10,hauntingly,CW,test,word,1,946,39,keypress
0AiLv,3,272,10,prevetence,SPW,test,non-word,1,944,39,keypress
0AiLv,4,399,11,imcnlrhwho,NW,catch,non-word,1,555,39,keypress
0AiLv,4,400,11,ulcerated,CW,test,word,1,1101,39,keypress
0AiLv,3,276,11,varyish,CPW,test,non-word,1,799,39,keypress
0AiLv,2,113,15,drifter,CW,test,word,1,692,39,keypress
0AiLv,4,350,10,ylsrysao,NW,test,non-word,1,453,39,keypress
0AiLv,4,365,11,hear,SW,catch,word,1,669,39,keypress
0AiLv,2,122,10,egbdnta,NW,test,non-word,1,559,39,keypress
0AiLv,4,321,11,eyhlr,NW,test,non-word,1,519,39,keypress
0AiLv,4,368,15,rermue,SPW,test,non-word,1,686,39,keypress
0AiLv,4,369,15,carrot,SW,test,word,1,541,39,keypress
0AiLv,1,84,11,huppar,SPW,test,non-word,1,665,39,keypress
0AiLv,4,323,10,fpygai,NW,test,non-word,1,484,39,keypress
