experiment,participant_id,age,trial_order,stimulus,response
open,101822,44.0,28,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed?",yes
open,101822,44.0,29,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",yes
open,101822,44.0,30,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed?",yes
open,101822,44.0,31,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone?",yes
open,101822,44.0,32,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed?",yes
open,101822,44.0,33,"The door is red. In this context, is the door red?",yes
open,101822,44.0,34,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",no
open,101822,44.0,35,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed?",yes
open,101822,44.0,36,"The door is red. In this context, is the door red?",yes
open,101822,44.0,37,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone?",yes
open,101822,44.0,38,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",yes
open,101822,44.0,39,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",yes
open,101822,44.0,40,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,101822,44.0,41,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",no
open,101822,44.0,42,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",yes
open,101822,44.0,43,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",yes
open,101822,44.0,44,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone?",yes
open,101822,44.0,45,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",yes
open,101822,44.0,46,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",yes
open,101822,44.0,47,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",yes
open,101822,44.0,48,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",yes
open,101822,44.0,49,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed?",yes
open,101822,44.0,50,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed?",yes
open,101822,44.0,51,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy?",yes
open,101822,44.0,52,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",yes
open,101822,44.0,53,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",no
open,101822,44.0,54,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy?",no
open,101822,44.0,55,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone?",yes
open,101822,44.0,56,"The door is green. In this context, is the door blue?",no
open,101822,44.0,57,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed?",yes
open,101822,44.0,58,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed?",yes
open,101822,44.0,59,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted?",no
open,101822,44.0,60,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",yes
open,101822,44.0,61,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed?",yes
open,101822,44.0,62,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",yes
open,101822,44.0,63,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed?",yes
open,101822,44.0,64,"The door is green. In this context, is the door blue?",no
open,101822,44.0,65,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",yes
open,101822,44.0,66,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,102842,32.0,1,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,102842,32.0,2,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",yes
open,102842,32.0,3,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,102842,32.0,4,"The door is green. In this context, is the door blue?",no
open,102842,32.0,5,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",no
open,102842,32.0,6,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,102842,32.0,7,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,102842,32.0,8,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,102842,32.0,9,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,102842,32.0,10,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,102842,32.0,11,"The door is red. In this context, is the door red?",yes
open,102842,32.0,12,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,102842,32.0,13,"The door is red. In this context, is the door red?",yes
open,102842,32.0,14,"The door is green. In this context, is the door blue?",no
open,102842,32.0,15,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,102842,32.0,16,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",yes
open,102842,32.0,17,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,102842,32.0,18,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,102842,32.0,19,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,102842,32.0,20,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,102842,32.0,21,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,102842,32.0,22,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,102842,32.0,23,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,102842,32.0,24,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,102842,32.0,25,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,102842,32.0,26,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,102842,32.0,27,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,102842,32.0,28,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",yes
open,102842,32.0,29,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,102842,32.0,30,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,102842,32.0,31,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,102842,32.0,32,"The door is green. In this context, is the door blue?",no
open,102842,32.0,33,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,102842,32.0,34,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,102842,32.0,35,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",yes
open,102842,32.0,36,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",yes
open,102842,32.0,37,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,102842,32.0,38,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,102842,32.0,39,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,102842,32.0,40,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",yes
open,102842,32.0,41,"The door is red. In this context, is the door red?",yes
open,102842,32.0,42,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,102842,32.0,43,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,102842,32.0,44,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,102842,32.0,45,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",yes
open,102842,32.0,46,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",yes
open,102842,32.0,47,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",no
open,102842,32.0,48,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,102842,32.0,49,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",yes
open,102842,32.0,50,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",no
open,102842,32.0,51,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",yes
open,102842,32.0,52,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,102842,32.0,53,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,102842,32.0,54,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,102842,32.0,55,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,102842,32.0,56,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,102842,32.0,57,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,102842,32.0,58,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",no
open,102842,32.0,59,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,102842,32.0,60,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,102842,32.0,61,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,102842,32.0,62,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,102842,32.0,63,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,102842,32.0,64,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,102842,32.0,65,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,102842,32.0,66,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",yes
open,108753,24.0,1,"The door is red. In this context, is the door red?",yes
open,108753,24.0,2,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,108753,24.0,3,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,108753,24.0,4,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,108753,24.0,5,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,108753,24.0,6,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,108753,24.0,7,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",no
open,108753,24.0,8,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",yes
open,108753,24.0,9,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,108753,24.0,10,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",no
open,108753,24.0,11,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,108753,24.0,12,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,108753,24.0,13,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,108753,24.0,14,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,108753,24.0,15,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,108753,24.0,16,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",no
open,108753,24.0,17,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,108753,24.0,18,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,108753,24.0,19,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,108753,24.0,20,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained?",no
open,108753,24.0,21,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,108753,24.0,22,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",yes
open,108753,24.0,23,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,108753,24.0,24,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,108753,24.0,25,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,108753,24.0,26,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone?",yes
open,108753,24.0,27,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,108753,24.0,28,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,108753,24.0,29,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",yes
open,108753,24.0,30,"The door is green. In this context, is the door blue?",no
open,108753,24.0,31,"The door is red. In this context, is the door red?",yes
open,108753,24.0,32,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,108753,24.0,33,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,108753,24.0,34,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,108753,24.0,35,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone?",yes
open,108753,24.0,36,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",no
open,108753,24.0,37,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped?",no
open,108753,24.0,38,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,108753,24.0,39,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,108753,24.0,40,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",no
open,108753,24.0,41,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for?",yes
open,108753,24.0,42,"The door is red. In this context, is the door red?",yes
open,108753,24.0,43,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,108753,24.0,44,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",no
open,108753,24.0,45,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at?",yes
open,108753,24.0,46,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased?",no
open,108753,24.0,47,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed?",no
open,108753,24.0,48,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone?",yes
open,108753,24.0,49,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed?",no
open,108753,24.0,50,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John?",no
open,108753,24.0,51,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,108753,24.0,52,"The door is green. In this context, is the door blue?",no
open,108753,24.0,53,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,108753,24.0,54,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone?",yes
open,108753,24.0,55,"The door is green. In this context, is the door blue?",no
open,108753,24.0,56,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,108753,24.0,57,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,108753,24.0,58,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",yes
open,108753,24.0,59,"Mary was kissed by Molly and Franck. In this context, was Molly kissed?",no
open,108753,24.0,60,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone?",yes
open,108753,24.0,61,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen?",yes
open,108753,24.0,62,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for?",yes
open,108753,24.0,63,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone?",no
open,108753,24.0,64,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky?",no
open,108753,24.0,65,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone?",no
open,108753,24.0,66,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone?",yes
open,109786,23.0,1,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed?",yes
open,109786,23.0,2,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",yes
open,109786,23.0,3,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,109786,23.0,4,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,109786,23.0,5,"The door is green. In this context, is the door blue?",no
open,109786,23.0,6,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,109786,23.0,7,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy?",yes
open,109786,23.0,8,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone?",yes
open,109786,23.0,9,"The door is red. In this context, is the door red?",yes
open,109786,23.0,10,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted?",no
open,109786,23.0,11,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",yes
open,109786,23.0,12,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",yes
open,109786,23.0,13,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",yes
open,109786,23.0,14,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",yes
open,109786,23.0,15,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",yes
open,109786,23.0,16,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",no
open,109786,23.0,17,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",no
open,109786,23.0,18,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",yes
open,109786,23.0,19,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone?",yes
open,109786,23.0,20,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy?",yes
open,109786,23.0,21,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",no
open,109786,23.0,22,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",no
open,109786,23.0,23,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",no
open,109786,23.0,24,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted?",no
open,109786,23.0,25,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",no
open,109786,23.0,26,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,109786,23.0,27,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed?",no
open,109786,23.0,28,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",no
open,109786,23.0,29,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",no
open,109786,23.0,30,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",yes
open,109786,23.0,31,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone?",yes
open,109786,23.0,32,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",yes
open,109786,23.0,33,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased?",yes
open,109786,23.0,34,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone?",yes
open,109786,23.0,35,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",no
open,109786,23.0,36,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed?",no
open,109786,23.0,37,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed?",no
open,109786,23.0,38,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed?",no
open,109786,23.0,39,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",no
open,109786,23.0,40,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone?",yes
open,109786,23.0,41,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed?",no
open,109786,23.0,42,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",no
open,109786,23.0,43,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed?",no
open,109786,23.0,44,"The door is green. In this context, is the door blue?",no
open,109786,23.0,45,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",yes
open,109786,23.0,46,"The door is red. In this context, is the door red?",yes
open,109786,23.0,47,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed?",no
open,109786,23.0,48,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,109786,23.0,49,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone?",no
open,109786,23.0,50,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,109786,23.0,51,"The door is red. In this context, is the door red?",yes
open,109786,23.0,52,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",no
