"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy","rt","rt_measure"
1,27,"caramella","TIELATILLINA","ATLETINATRICA",1,"Correct",1936,"keypress"
1,28,"gattino","BAIALININARLO","SUPESCITOLO",1,"Correct",1909,"keypress"
1,29,"fungo","SDRASTELLO","GHIOTOSTALMENTO",1,"Incorrect",2585,"keypress"
1,30,"insulto","OFFENDANTOSO","PESCHETTORIO",1,"Correct",1682,"keypress"
1,31,"pentito","MAFIDAMATO","FUMACOLIO",1,"Correct",1813,"keypress"
1,32,"incentivo","VORICIPANZIO","LUMITATRO",2,"Incorrect",2211,"keypress"
1,33,"allergia","TINFETIOLIA","BOVETRITOLA",1,"Correct",1867,"keypress"
1,34,"pettegolezzo","UFFAMALINALISMO","GRATTUGIENDOLO",2,"Incorrect",3715,"keypress"
1,35,"pentola","CUOCCELA","FRITIENDOLA",1,"Correct",1243,"keypress"
1,36,"progresso","BAIALININARLO","CORTECNOLISMO",1,"Incorrect",1755,"keypress"
1,37,"agonia","MORTUMAZITA","GENAMORENZA",2,"Incorrect",2477,"keypress"
1,38,"emicrania","VESTICELLA","ACUFEROIDIA",2,"Correct",3116,"keypress"
1,39,"pervertito","DÉPLIOTIO","BRUFFEMIANDOLO",1,"Incorrect",3278,"keypress"
1,40,"risata","GUTONERTITA","NUVOLTANZA",1,"Correct",1806,"keypress"
1,41,"bara","SUONONELLA","SEPOLLAIA",2,"Correct",1706,"keypress"
1,42,"pelliccia","BOVISELETTA","IRIBOLENZA",1,"Correct",1840,"keypress"
1,43,"puntura","VACEFALINA","VACIDEMINA",2,"Incorrect",1682,"keypress"
1,44,"cranio","TETRUCCIERICO","GROTOPSIANDOLO",1,"Incorrect",2945,"keypress"
1,45,"capezzolo","BACINGINEO","POZZETALITO",2,"Incorrect",2293,"keypress"
1,46,"comodino","LETTOLETTO","AMANIMARISMO",2,"Incorrect",2863,"keypress"
1,47,"orchestra","VAPOGELLA","MAAZELLARIA",1,"Incorrect",2362,"keypress"
1,48,"rinfresco","NIDORMIENDOLO","BICCORERIANNO",2,"Correct",2136,"keypress"
1,49,"malaria","VACIDEMINA","VACEFALINA",1,"Correct",3652,"keypress"
1,50,"credenza","BONSCETTIA","TOPISEGNATURA",1,"Correct",1675,"keypress"
1,51,"crepuscolo","GROTOPSIANDOLO","NEBBALLIANTO",2,"Correct",3441,"keypress"
1,52,"benda","GUTONERTITA","GUARIOGRANDOLA",2,"Correct",3324,"keypress"
1,53,"cuscino","UCCIDALOSAMENTO","SDRASTELLO",2,"Correct",1236,"keypress"
1,54,"poltrona","COTOLITELLA","DECOMODA",2,"Correct",1698,"keypress"
1,55,"trionfo","TRAVINCIMENTO","OFFENDANTOSO",1,"Correct",5031,"keypress"
1,56,"faro","LUMITATRO","BAMBITORIO",1,"Correct",3789,"keypress"
1,57,"abbondanza","NUTRONATEZZA","TIELATILLINA",1,"Correct",1912,"keypress"
1,58,"vaiolo","BOVIACCAMENTO","INFETOTERO",1,"Incorrect",1741,"keypress"
1,59,"mensola","TAPOSTOIONA","BOVISELETTA",2,"Incorrect",1794,"keypress"
1,60,"squalo","VORICIPANZIO","SUPESCITOLO",1,"Incorrect",2086,"keypress"
1,61,"schiuma","CUOCETTOLA","VAPOGELLA",1,"Incorrect",2678,"keypress"
1,62,"statua","SOMMIRATOLA","GUARIOGRANDOLA",2,"Incorrect",2603,"keypress"
1,63,"dentista","BULICCHIRURA","MORTUMAZITA",1,"Correct",1672,"keypress"
1,64,"brezza","GIUBBIATOLA","NUVOLTANZA",2,"Correct",1280,"keypress"
1,65,"scodella","FRITIENDOLA","NUTRONATEZZA",1,"Correct",1670,"keypress"
1,66,"panca","PECCANNIA","SEDINOCA",2,"Correct",1558,"keypress"
1,67,"cucchiaio","GRATTUGIENDOLO","INFETOTERO",2,"Incorrect",3523,"keypress"
1,68,"giocattolo","BAMBITORIO","AMAGGIOSCO",1,"Correct",1153,"keypress"
1,69,"carcassa","BOVETRITOLA","SEPOLLAIA",2,"Incorrect",1959,"keypress"
1,70,"disprezzo","SDEGNATISMO","LETTOLETTO",1,"Correct",1406,"keypress"
1,71,"padella","ILLUMINETTRIA","CUOCETTOLA",2,"Correct",1075,"keypress"
1,72,"industria","TECNOLICENZA","BULICCHIRURA",1,"Correct",1420,"keypress"
1,73,"pianta","ACUFEROIDIA","ERBACOLATURA",2,"Correct",1310,"keypress"
1,74,"gonna","VESTICELLA","AFFOGNITURA",1,"Correct",1191,"keypress"
1,75,"insetto","NIDORMIENDOLO","TRAVINCIMENTO",1,"Correct",1470,"keypress"
1,76,"serbatoio","POZZETALITO","BAMAGOGO",1,"Correct",1042,"keypress"
1,77,"violino","SUONANELLO","GHIOTOSTALMENTO",1,"Correct",1933,"keypress"
1,78,"ginnasta","BOVACCIETTA","ATLETINATRICA",2,"Correct",1525,"keypress"
1,79,"fischio","SCIOCOLTAZIO","SUONANELLO",1,"Correct",2236,"keypress"
1,80,"lampadina","ILLUMINETTRIA","BONSCETTIA",1,"Correct",1463,"keypress"
1,81,"lussuria","PECCANNIA","NASCOBILISTA",1,"Correct",1295,"keypress"
2,1,"gonna","VACIDEMINA","VESTICELLA",2,"Correct",1901,"keypress"
2,2,"pervertito","BRUFFEMIANDOLO","BAMAGOGO",1,"Correct",3297,"keypress"
2,3,"fungo","GRATTUGIENDOLO","GHIOTOSTALMENTO",2,"Correct",2380,"keypress"
2,4,"pentola","VACEFALINA","CUOCCELA",2,"Correct",1542,"keypress"
2,5,"faro","LUMITATRO","BUCCOLAIANDOLO",1,"Correct",1721,"keypress"
2,6,"pentito","BOVIACCAMENTO","MAFIDAMATO",2,"Correct",2227,"keypress"
2,7,"orchestra","MAAZELLARIA","BULICCHIRURA",1,"Correct",3067,"keypress"
2,8,"scodella","NUTRONATEZZA","FRITIENDOLA",2,"Correct",2647,"keypress"
2,9,"abbondanza","BOVETRITOLA","NUTRONATEZZA",2,"Correct",2043,"keypress"
2,10,"tabacco","BRUFFEMIANDOLO","FUMACOLIO",2,"Correct",1265,"keypress"
2,11,"lampada","ILLUMITINA","SHAKESPEARIA",1,"Correct",2869,"keypress"
2,12,"gelosia","GENAMORENZA","GUTONERTITA",1,"Correct",2982,"keypress"
2,13,"benda","ACUFEROIDIA","GUARIOGRANDOLA",2,"Correct",1979,"keypress"
2,14,"poltrona","ILLUMINETTRIA","DECOMODA",2,"Correct",1376,"keypress"
2,15,"attrezzo","UCCIDALOSAMENTO","PESCHETTORIO",2,"Correct",3924,"keypress"
2,16,"insulto","BAIALININARLO","OFFENDANTOSO",2,"Correct",1344,"keypress"
2,17,"pasta","SOMMIRATOLA","COTOLITELLA",2,"Correct",2941,"keypress"
2,18,"cesto","SCIOCOLTAZIO","BUCCOLAIANDOLO",1,"Incorrect",1420,"keypress"
2,19,"risata","NASCOBILISTA","GUTONERTITA",1,"Incorrect",1457,"keypress"
2,20,"caramella","BONSCETTIA","TIELATILLINA",2,"Correct",3958,"keypress"
2,21,"pettegolezzo","UFFAMALINALISMO","AMAGGIOSCO",1,"Correct",3400,"keypress"
2,22,"commedia","SHAKESPEARIA","SEPOLLAIA",1,"Correct",1704,"keypress"
2,23,"mensola","BEVERCHIETTA","TAPOSTOIONA",2,"Correct",2697,"keypress"
2,24,"patriota","SEDINOCA","NASCOBILISTA",1,"Incorrect",2424,"keypress"
2,25,"allergia","TINFETIOLIA","TIELATILLINA",1,"Correct",3289,"keypress"
2,26,"fischio","SCIOCOLTAZIO","BAMBITORIO",1,"Correct",1914,"keypress"
2,27,"bibita","GIUBBIATOLA","BEVERCHIETTA",2,"Correct",1478,"keypress"
2,28,"carcassa","BOVETRITOLA","DECOMODA",1,"Correct",1819,"keypress"
2,29,"puntura","CAGOGNAZZA","VACEFALINA",2,"Correct",2717,"keypress"
2,30,"vaiolo","INFETOTERO","SDRASTELLO",1,"Correct",1680,"keypress"
2,31,"emicrania","MORTUMAZITA","ACUFEROIDIA",1,"Incorrect",3056,"keypress"
2,32,"manichino","TETRUCCIERICO","NEBBALLIANTO",2,"Incorrect",1755,"keypress"
2,33,"cucchiaio","GRATTUGIENDOLO","VORICIPANZIO",2,"Incorrect",2016,"keypress"
2,34,"gattino","BAIALININARLO","POZZETALITO",1,"Correct",3157,"keypress"
2,35,"panca","BOVISELETTA","SEDINOCA",2,"Correct",1234,"keypress"
2,36,"collera","IRIBOLENZA","COTOLITELLA",1,"Correct",1534,"keypress"
2,37,"sciarpa","GIUBBIATOLA","TECNOLICENZA",1,"Correct",2118,"keypress"
2,38,"serbatoio","TETRUCCIERICO","POZZETALITO",2,"Correct",2554,"keypress"
2,39,"melma","AFFOGNITURA","PECCANNIA",1,"Correct",2440,"keypress"
2,40,"disprezzo","INFETOTERO","SDEGNATISMO",2,"Correct",2205,"keypress"
2,41,"trionfo","LUMITATRO","TRAVINCIMENTO",2,"Correct",2322,"keypress"
2,42,"ginnasta","ATLETINATRICA","FRITIENDOLA",1,"Correct",1076,"keypress"
2,43,"stampo","POSPICCIOLO","SPONATENTALISMO",1,"Incorrect",3067,"keypress"
2,44,"capezzolo","BACINGINEO","UFFAMALINALISMO",1,"Correct",2510,"keypress"
2,45,"padella","CUOCETTOLA","TAPOSTOIONA",1,"Correct",1456,"keypress"
2,46,"cranio","GROTOPSIANDOLO","MAFIDAMATO",2,"Incorrect",4139,"keypress"
2,47,"violino","SUONANELLO","PESCHETTORIO",1,"Correct",2108,"keypress"
2,48,"sentimento","MORCAVATTICO","AMANIMARISMO",2,"Correct",2372,"keypress"
2,49,"massacro","UCCIDALOSAMENTO","AMANIMARISMO",1,"Correct",1268,"keypress"
2,50,"malaria","VACIDEMINA","NUVOLTANZA",1,"Correct",1060,"keypress"
2,51,"progresso","SDEGNATISMO","CORTECNOLISMO",1,"Incorrect",3413,"keypress"
2,52,"scarafaggio","MORCAVATTICO","LETTOLETTO",1,"Correct",3333,"keypress"
2,53,"feccia","CAGOGNAZZA","VESTICELLA",1,"Correct",2232,"keypress"
2,54,"lampadina","GENAMORENZA","ILLUMINETTRIA",2,"Correct",1233,"keypress"
2,55,"schiuma","TOPISEGNATURA","VAPOGELLA",2,"Correct",1660,"keypress"
2,56,"insetto","NIDORMIENDOLO","GROTOPSIANDOLO",1,"Correct",2111,"keypress"
2,57,"macello","BOVIACCAMENTO","TRAVINCIMENTO",1,"Correct",1145,"keypress"
2,58,"matita","TOPISEGNATURA","TINFETIOLIA",2,"Incorrect",2554,"keypress"
2,59,"brezza","NUVOLTANZA","GUARIOGRANDOLA",1,"Correct",1884,"keypress"
2,60,"opuscolo","DÉPLIOTIO","SUPESCITOLO",1,"Correct",2691,"keypress"
2,61,"cuscino","SDRASTELLO","DÉPLIOTIO",1,"Correct",1985,"keypress"
2,62,"comodino","LETTOLETTO","SPONATENTALISMO",2,"Incorrect",4344,"keypress"
2,63,"dentista","BULICCHIRURA","ILLUMITINA",1,"Correct",1880,"keypress"
2,64,"squalo","NIDORMIENDOLO","SUPESCITOLO",2,"Correct",2869,"keypress"
2,65,"pianta","VAPOGELLA","ERBACOLATURA",2,"Correct",1433,"keypress"
2,66,"incentivo","VORICIPANZIO","BICCORERIANNO",2,"Incorrect",2609,"keypress"
2,67,"agonia","MORTUMAZITA","ERBACOLATURA",1,"Correct",1630,"keypress"
2,68,"pelliccia","BOVISELETTA","MAAZELLARIA",1,"Correct",1857,"keypress"
2,69,"mucca","BOVACCIETTA","IRIBOLENZA",1,"Correct",1219,"keypress"
2,70,"crepuscolo","FUMACOLIO","NEBBALLIANTO",2,"Correct",1263,"keypress"
2,71,"fascino","AMAGGIOSCO","SUONANELLO",1,"Correct",3970,"keypress"
2,72,"idolo","BAMAGOGO","BACINGINEO",2,"Incorrect",3659,"keypress"
2,73,"credenza","CUOCETTOLA","BONSCETTIA",2,"Correct",3428,"keypress"
2,74,"statua","BOVACCIETTA","SOMMIRATOLA",2,"Correct",1852,"keypress"
2,75,"industria","TECNOLICENZA","SUONONELLA",1,"Correct",1301,"keypress"
2,76,"giocattolo","GHIOTOSTALMENTO","BAMBITORIO",2,"Correct",3538,"keypress"
2,77,"rinfresco","CORTECNOLISMO","BICCORERIANNO",1,"Incorrect",2995,"keypress"
2,78,"tromba","SUONONELLA","CUOCCELA",1,"Correct",911,"keypress"
2,79,"bara","SEPOLLAIA","ATLETINATRICA",1,"Correct",1830,"keypress"
2,80,"terrazzo","OFFENDANTOSO","POSPICCIOLO",2,"Correct",4086,"keypress"
2,81,"lussuria","AFFOGNITURA","PECCANNIA",2,"Correct",1738,"keypress"
3,1,"attrezzo","PESCHETTORIO","NIDORMIENDOLO",1,"Correct",6487,"keypress"
3,2,"pentola","DECOMODA","CUOCCELA",2,"Correct",6542,"keypress"
3,3,"melma","AFFOGNITURA","CUOCCELA",1,"Correct",6818,"keypress"
3,4,"schiuma","ACUFEROIDIA","VAPOGELLA",2,"Correct",9323,"keypress"
3,5,"progresso","CORTECNOLISMO","FUMACOLIO",1,"Correct",5736,"keypress"
3,6,"giocattolo","INFETOTERO","BAMBITORIO",2,"Correct",3232,"keypress"
3,7,"sentimento","AMANIMARISMO","UFFAMALINALISMO",1,"Correct",6121,"keypress"
3,8,"mensola","TAPOSTOIONA","PECCANNIA",1,"Correct",3569,"keypress"
3,9,"credenza","BONSCETTIA","ERBACOLATURA",1,"Correct",3780,"keypress"
3,10,"fungo","GHIOTOSTALMENTO","GRATTUGIENDOLO",1,"Correct",3835,"keypress"
3,11,"pianta","NUVOLTANZA","ERBACOLATURA",2,"Correct",1820,"keypress"
3,12,"scodella","GUTONERTITA","FRITIENDOLA",2,"Correct",6787,"keypress"
3,13,"opuscolo","PESCHETTORIO","DÉPLIOTIO",2,"Correct",4299,"keypress"
3,14,"terrazzo","POSPICCIOLO","GROTOPSIANDOLO",1,"Correct",11121,"keypress"
3,15,"benda","SEPOLLAIA","GUARIOGRANDOLA",2,"Correct",3420,"keypress"
3,16,"brezza","NUVOLTANZA","TAPOSTOIONA",2,"Incorrect",2491,"keypress"
3,17,"faro","BICCORERIANNO","LUMITATRO",2,"Correct",5311,"keypress"
3,18,"gelosia","GENAMORENZA","BOVISELETTA",1,"Correct",2480,"keypress"
3,19,"comodino","MAFIDAMATO","LETTOLETTO",1,"Incorrect",6259,"keypress"
3,20,"bibita","BEVERCHIETTA","VACIDEMINA",1,"Correct",1896,"keypress"
3,21,"disprezzo","SDEGNATISMO","BUCCOLAIANDOLO",1,"Correct",1983,"keypress"
3,22,"rinfresco","BICCORERIANNO","SCIOCOLTAZIO",1,"Correct",3673,"keypress"
3,23,"insulto","TETRUCCIERICO","OFFENDANTOSO",2,"Correct",1860,"keypress"
3,24,"orchestra","MAAZELLARIA","TOPISEGNATURA",1,"Correct",2580,"keypress"
3,25,"manichino","SUONANELLO","TETRUCCIERICO",2,"Correct",2669,"keypress"
3,26,"dentista","BULICCHIRURA","VESTICELLA",1,"Correct",3133,"keypress"
3,27,"massacro","BAIALININARLO","UCCIDALOSAMENTO",2,"Correct",2228,"keypress"
3,28,"squalo","AMAGGIOSCO","SUPESCITOLO",2,"Correct",2957,"keypress"
3,29,"serbatoio","POZZETALITO","SDEGNATISMO",1,"Correct",2100,"keypress"
3,30,"carcassa","BOVETRITOLA","NASCOBILISTA",2,"Incorrect",2643,"keypress"
3,31,"crepuscolo","NEBBALLIANTO","BACINGINEO",1,"Correct",2050,"keypress"
3,32,"collera","IRIBOLENZA","CAGOGNAZZA",1,"Correct",1432,"keypress"
3,33,"feccia","GUARIOGRANDOLA","CAGOGNAZZA",2,"Correct",2464,"keypress"
3,34,"incentivo","CORTECNOLISMO","VORICIPANZIO",1,"Incorrect",5416,"keypress"
3,35,"pelliccia","GIUBBIATOLA","BOVISELETTA",1,"Incorrect",2544,"keypress"
3,36,"padella","CUOCETTOLA","AFFOGNITURA",1,"Correct",1524,"keypress"
3,37,"idolo","BAMAGOGO","MORCAVATTICO",2,"Incorrect",1830,"keypress"
3,38,"vaiolo","INFETOTERO","VORICIPANZIO",1,"Correct",1482,"keypress"
3,39,"patriota","TINFETIOLIA","NASCOBILISTA",2,"Correct",1684,"keypress"
3,40,"violino","AMANIMARISMO","SUONANELLO",2,"Correct",1969,"keypress"
3,41,"gattino","BAIALININARLO","BRUFFEMIANDOLO",2,"Incorrect",1873,"keypress"
3,42,"risata","GUTONERTITA","BOVACCIETTA",2,"Incorrect",1967,"keypress"
3,43,"agonia","MORTUMAZITA","ATLETINATRICA",1,"Correct",3466,"keypress"
3,44,"statua","SOMMIRATOLA","BOVETRITOLA",2,"Incorrect",3409,"keypress"
3,45,"caramella","TIELATILLINA","COTOLITELLA",2,"Incorrect",1770,"keypress"
3,46,"scarafaggio","OFFENDANTOSO","MORCAVATTICO",2,"Correct",2151,"keypress"
3,47,"pasta","COTOLITELLA","BULICCHIRURA",2,"Incorrect",2642,"keypress"
3,48,"cranio","NEBBALLIANTO","GROTOPSIANDOLO",2,"Correct",2357,"keypress"
3,49,"trionfo","TRAVINCIMENTO","BOVIACCAMENTO",1,"Correct",2716,"keypress"
3,50,"puntura","VACEFALINA","TIELATILLINA",2,"Incorrect",10141,"keypress"
3,51,"pervertito","LUMITATRO","BRUFFEMIANDOLO",2,"Correct",2198,"keypress"
3,52,"tabacco","SUPESCITOLO","FUMACOLIO",2,"Correct",1805,"keypress"
3,53,"abbondanza","CUOCETTOLA","NUTRONATEZZA",1,"Incorrect",3067,"keypress"
3,54,"cesto","TRAVINCIMENTO","BUCCOLAIANDOLO",2,"Correct",2902,"keypress"
3,55,"capezzolo","BACINGINEO","DÉPLIOTIO",1,"Correct",3475,"keypress"
3,56,"bara","MAAZELLARIA","SEPOLLAIA",2,"Correct",2806,"keypress"
3,57,"lussuria","SUONONELLA","PECCANNIA",2,"Correct",1933,"keypress"
3,58,"insetto","NIDORMIENDOLO","SPONATENTALISMO",2,"Incorrect",7301,"keypress"
3,59,"macello","LETTOLETTO","BOVIACCAMENTO",2,"Correct",1751,"keypress"
3,60,"fischio","SCIOCOLTAZIO","POZZETALITO",1,"Correct",4634,"keypress"
3,61,"matita","BEVERCHIETTA","TOPISEGNATURA",2,"Correct",2724,"keypress"
3,62,"industria","TECNOLICENZA","BONSCETTIA",1,"Correct",1637,"keypress"
3,63,"poltrona","SHAKESPEARIA","DECOMODA",2,"Correct",1244,"keypress"
3,64,"stampo","SPONATENTALISMO","POSPICCIOLO",1,"Correct",1665,"keypress"
3,65,"malaria","VACEFALINA","VACIDEMINA",2,"Correct",1917,"keypress"
3,66,"gonna","TECNOLICENZA","VESTICELLA",2,"Correct",1352,"keypress"
3,67,"emicrania","ACUFEROIDIA","NUTRONATEZZA",1,"Correct",2347,"keypress"
3,68,"pentito","MAFIDAMATO","BAMBITORIO",1,"Correct",2214,"keypress"
3,69,"lampada","MORTUMAZITA","ILLUMITINA",2,"Correct",1739,"keypress"
3,70,"fascino","BAMAGOGO","AMAGGIOSCO",2,"Correct",1545,"keypress"
3,71,"cucchiaio","GRATTUGIENDOLO","UCCIDALOSAMENTO",2,"Incorrect",2399,"keypress"
3,72,"lampadina","IRIBOLENZA","ILLUMINETTRIA",2,"Correct",2139,"keypress"
3,73,"allergia","VAPOGELLA","TINFETIOLIA",2,"Correct",3599,"keypress"
3,74,"tromba","FRITIENDOLA","SUONONELLA",2,"Correct",2028,"keypress"
3,75,"panca","GENAMORENZA","SEDINOCA",1,"Incorrect",2626,"keypress"
3,76,"commedia","SHAKESPEARIA","SEDINOCA",1,"Correct",2119,"keypress"
3,77,"sciarpa","GIUBBIATOLA","ILLUMINETTRIA",1,"Correct",3225,"keypress"
3,78,"cuscino","GHIOTOSTALMENTO","SDRASTELLO",2,"Correct",2409,"keypress"
3,79,"pettegolezzo","SDRASTELLO","UFFAMALINALISMO",2,"Correct",2152,"keypress"
3,80,"ginnasta","ILLUMITINA","ATLETINATRICA",2,"Correct",1491,"keypress"
3,81,"mucca","BOVACCIETTA","SOMMIRATOLA",1,"Correct",1266,"keypress"
4,1,"cesto","TRAVINCIMENTO","BUCCOLAIANDOLO",2,"Correct",4063,"keypress"
4,2,"cucchiaio","SPONATENTALISMO","GRATTUGIENDOLO",1,"Incorrect",4587,"keypress"
4,3,"brezza","NUVOLTANZA","COTOLITELLA",1,"Correct",2829,"keypress"
4,4,"progresso","DÉPLIOTIO","CORTECNOLISMO",2,"Correct",2723,"keypress"
4,5,"lampada","ILLUMITINA","CAGOGNAZZA",1,"Correct",1996,"keypress"
4,6,"sciarpa","IRIBOLENZA","GIUBBIATOLA",2,"Correct",2039,"keypress"
4,7,"carcassa","NASCOBILISTA","BOVETRITOLA",2,"Correct",3322,"keypress"
4,8,"poltrona","DECOMODA","ATLETINATRICA",1,"Correct",4453,"keypress"
4,9,"pasta","VAPOGELLA","COTOLITELLA",2,"Correct",2058,"keypress"
4,10,"commedia","ILLUMINETTRIA","SHAKESPEARIA",2,"Correct",1852,"keypress"
4,11,"schiuma","TOPISEGNATURA","VAPOGELLA",2,"Correct",2572,"keypress"
4,12,"tromba","SUONONELLA","GIUBBIATOLA",1,"Correct",1402,"keypress"
4,13,"violino","BOVIACCAMENTO","SUONANELLO",2,"Correct",4113,"keypress"
4,14,"mensola","TAPOSTOIONA","BONSCETTIA",1,"Correct",2292,"keypress"
4,15,"dentista","TECNOLICENZA","BULICCHIRURA",1,"Incorrect",2462,"keypress"
4,16,"crepuscolo","NEBBALLIANTO","PESCHETTORIO",1,"Correct",1739,"keypress"
4,17,"gattino","MORCAVATTICO","BAIALININARLO",2,"Correct",2396,"keypress"
4,18,"cranio","AMAGGIOSCO","GROTOPSIANDOLO",2,"Correct",2828,"keypress"
4,19,"pervertito","SUONANELLO","BRUFFEMIANDOLO",2,"Correct",2179,"keypress"
4,20,"ginnasta","ATLETINATRICA","VESTICELLA",1,"Correct",1722,"keypress"
4,21,"tabacco","INFETOTERO","FUMACOLIO",2,"Correct",1639,"keypress"
4,22,"squalo","SUPESCITOLO","BRUFFEMIANDOLO",1,"Correct",2285,"keypress"
4,23,"panca","SEDINOCA","CUOCCELA",1,"Correct",1478,"keypress"
4,24,"orchestra","MORTUMAZITA","MAAZELLARIA",2,"Correct",1866,"keypress"
4,25,"feccia","BULICCHIRURA","CAGOGNAZZA",2,"Correct",2739,"keypress"
4,26,"vaiolo","FUMACOLIO","INFETOTERO",2,"Correct",1614,"keypress"
4,27,"comodino","LETTOLETTO","UFFAMALINALISMO",1,"Correct",2094,"keypress"
4,28,"pentito","LETTOLETTO","MAFIDAMATO",2,"Correct",1759,"keypress"
4,29,"pentola","CUOCCELA","GUARIOGRANDOLA",1,"Correct",2343,"keypress"
4,30,"scodella","TIELATILLINA","FRITIENDOLA",1,"Incorrect",2228,"keypress"
4,31,"insulto","OFFENDANTOSO","BAMBITORIO",1,"Correct",1772,"keypress"
4,32,"fungo","GRATTUGIENDOLO","GHIOTOSTALMENTO",2,"Correct",2062,"keypress"
4,33,"bara","SEPOLLAIA","ILLUMITINA",1,"Correct",1349,"keypress"
4,34,"gonna","SEPOLLAIA","VESTICELLA",2,"Correct",1682,"keypress"
4,35,"insetto","NIDORMIENDOLO","BAMAGOGO",2,"Incorrect",2207,"keypress"
4,36,"cuscino","SDRASTELLO","BICCORERIANNO",1,"Correct",2032,"keypress"
4,37,"manichino","NEBBALLIANTO","TETRUCCIERICO",2,"Correct",2056,"keypress"
4,38,"statua","SOMMIRATOLA","BOVETRITOLA",1,"Correct",1766,"keypress"
4,39,"trionfo","TETRUCCIERICO","TRAVINCIMENTO",2,"Correct",1818,"keypress"
4,40,"attrezzo","UCCIDALOSAMENTO","PESCHETTORIO",1,"Incorrect",1929,"keypress"
4,41,"fischio","SCIOCOLTAZIO","LUMITATRO",2,"Incorrect",2621,"keypress"
4,42,"lussuria","SOMMIRATOLA","PECCANNIA",2,"Correct",2120,"keypress"
4,43,"puntura","VACEFALINA","DECOMODA",1,"Correct",2348,"keypress"
4,44,"patriota","BOVISELETTA","NASCOBILISTA",1,"Incorrect",3814,"keypress"
4,45,"terrazzo","POSPICCIOLO","GROTOPSIANDOLO",1,"Correct",1530,"keypress"
4,46,"idolo","BAMAGOGO","VORICIPANZIO",1,"Correct",1884,"keypress"
4,47,"melma","AFFOGNITURA","ACUFEROIDIA",1,"Correct",1472,"keypress"
4,48,"fascino","AMAGGIOSCO","CORTECNOLISMO",1,"Correct",2152,"keypress"
4,49,"massacro","NIDORMIENDOLO","UCCIDALOSAMENTO",2,"Correct",2552,"keypress"
4,50,"gelosia","SHAKESPEARIA","GENAMORENZA",2,"Correct",1608,"keypress"
4,51,"scarafaggio","POSPICCIOLO","MORCAVATTICO",2,"Correct",2381,"keypress"
4,52,"pettegolezzo","OFFENDANTOSO","UFFAMALINALISMO",1,"Incorrect",1833,"keypress"
4,53,"giocattolo","BAMBITORIO","BAIALININARLO",1,"Correct",1312,"keypress"
4,54,"abbondanza","NUTRONATEZZA","SEDINOCA",1,"Correct",2182,"keypress"
4,55,"lampadina","BEVERCHIETTA","ILLUMINETTRIA",2,"Correct",1110,"keypress"
4,56,"risata","BOVACCIETTA","GUTONERTITA",2,"Correct",1829,"keypress"
4,57,"rinfresco","BICCORERIANNO","BUCCOLAIANDOLO",1,"Correct",1798,"keypress"
