"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy","rt"
2,62,"camera","camera tenda","camera scarpa",2,"Incorrect",7509
2,63,"albero","albero fazzoletto","tramonto tavolo",1,"Correct",4195
2,64,"insalata","piazza tenda","insalata roccia",2,"Correct",3537
2,65,"specchio","prato specchio","specchio albero",1,"Correct",3195
2,66,"vaso","vaso albero","violino vaso",1,"Incorrect",15759
2,67,"tavolo","martello prato","tavolo fazzoletto",2,"Correct",12840
2,68,"torta","camera acqua","torta scarpa",2,"Correct",2692
2,69,"vaso","specchio fazzoletto","vaso fazzoletto",2,"Correct",1979
2,70,"acqua","finestra piazza","acqua piazza",2,"Correct",1771
2,71,"giacca","giacca piazza","bambola roccia",2,"Incorrect",6202
2,72,"albero","albero violino","vaso tramonto",1,"Correct",2854
2,73,"acqua","piazza insalata","acqua roccia",2,"Correct",1538
2,74,"albero","martello specchio","vaso albero",2,"Correct",1581
2,75,"finestra","finestra insalata","piazza roccia",2,"Incorrect",6946
2,76,"giacca","camera piazza","insalata giacca",2,"Correct",2282
2,77,"albero","albero prato","libro prato",1,"Correct",3119
2,78,"acqua","torta scarpa","scarpa acqua",2,"Correct",1331
2,79,"muro","vaso martello","specchio muro",1,"Incorrect",5940
2,80,"finestra","camera finestra","torta finestra",1,"Incorrect",4209
2,81,"torta","torta insalata","giacca camera",1,"Correct",5403
3,1,"tavolo","fazzoletto tavolo","prato vaso",2,"Incorrect",17338
3,2,"tavolo","prato tavolo","albero fazzoletto",1,"Correct",7214
3,3,"torta","insalata torta","acqua tenda",1,"Correct",3020
3,4,"tenda","tenda scarpa","scarpa acqua",1,"Correct",4728
3,5,"finestra","finestra roccia","roccia camera",2,"Incorrect",5661
3,6,"specchio","libro prato","martello specchio",2,"Correct",1578
3,7,"tavolo","specchio muro","tavolo tramonto",2,"Correct",1997
3,8,"camera","torta camera","camera roccia",1,"Incorrect",1866
3,9,"vaso","specchio albero","prato vaso",2,"Correct",646
3,10,"vaso","fazzoletto vaso","prato specchio",2,"Incorrect",536
3,11,"libro","libro martello","prato libro",2,"Correct",948
3,12,"libro","violino tavolo","libro martello",2,"Correct",1565
3,13,"albero","martello violino","prato albero",2,"Correct",1939
3,14,"acqua","giacca tenda","acqua insalata",2,"Correct",1272
3,15,"tavolo","muro tavolo","specchio libro",1,"Correct",1627
3,16,"tavolo","violino tavolo","tavolo albero",1,"Correct",1898
3,17,"giacca","giacca bambola","giacca tenda",2,"Correct",817
3,18,"acqua","scarpa acqua","tenda insalata",1,"Correct",1188
3,19,"torta","camera finestra","torta tenda",1,"Incorrect",1307
3,20,"albero","vaso albero","albero specchio",2,"Correct",1480
3,21,"finestra","finestra giacca","roccia scarpa",1,"Correct",1666
3,22,"camera","camera finestra","insalata giacca",1,"Correct",2879
3,23,"giacca","giacca insalata","insalata camera",2,"Incorrect",2318
3,24,"piazza","finestra acqua","piazza roccia",2,"Correct",2132
3,25,"camera","acqua camera","camera insalata",1,"Incorrect",491
3,26,"martello","fazzoletto specchio","martello prato",2,"Correct",766
3,27,"acqua","acqua torta","piazza finestra",1,"Correct",382
3,28,"finestra","tenda piazza","finestra insalata",2,"Correct",755
3,29,"tavolo","tavolo prato","tavolo vaso",2,"Correct",1621
3,30,"finestra","giacca piazza","tenda finestra",1,"Incorrect",1465
3,31,"vaso","violino vaso","martello specchio",2,"Incorrect",2305
3,32,"acqua","giacca acqua","scarpa camera",1,"Correct",1082
3,33,"giacca","giacca piazza","piazza roccia",2,"Incorrect",905
3,34,"muro","muro specchio","specchio tavolo",1,"Correct",1064
3,35,"torta","tenda torta","torta bambola",2,"Correct",1153
3,36,"specchio","albero libro","fazzoletto specchio",1,"Incorrect",283
3,37,"martello","vaso martello","prato martello",1,"Correct",2131
3,38,"prato","prato fazzoletto","vaso fazzoletto",2,"Incorrect",2303
3,39,"roccia","scarpa giacca","scarpa roccia",1,"Incorrect",1533
3,40,"camera","giacca camera","bambola torta",2,"Incorrect",1889
3,41,"acqua","acqua roccia","giacca camera",1,"Correct",4071
3,42,"tavolo","fazzoletto tavolo","specchio tavolo",2,"Correct",2490
3,43,"tenda","tenda piazza","camera piazza",2,"Incorrect",4064
3,44,"insalata","torta finestra","roccia insalata",1,"Incorrect",562
3,45,"tramonto","tramonto violino","libro violino",2,"Incorrect",880
3,46,"acqua","tenda finestra","tenda acqua",1,"Incorrect",798
3,47,"torta","torta piazza","acqua torta",2,"Incorrect",3324
3,48,"giacca","bambola giacca","roccia bambola",2,"Incorrect",68
3,49,"finestra","scarpa finestra","insalata roccia",1,"Correct",1532
3,50,"camera","torta piazza","camera torta",1,"Incorrect",2370
3,51,"tenda","tenda insalata","insalata torta",2,"Incorrect",8220
3,52,"acqua","acqua piazza","torta giacca",1,"Correct",389
3,53,"albero","fazzoletto albero","martello vaso",2,"Incorrect",1912
3,54,"acqua","giacca finestra","camera acqua",2,"Correct",840
3,55,"libro","tramonto libro","vaso libro",1,"Correct",3045
3,56,"acqua","finestra acqua","insalata acqua",1,"Correct",1987
3,57,"martello","martello violino","albero prato",2,"Incorrect",1051
3,58,"tenda","insalata piazza","roccia tenda",1,"Incorrect",1651
3,59,"libro","albero violino","albero libro",2,"Correct",6425
3,60,"libro","tavolo muro","violino libro",2,"Correct",2228
3,61,"bambola","roccia finestra","roccia bambola",2,"Correct",1459
3,62,"finestra","finestra insalata","torta finestra",1,"Incorrect",1241
3,63,"giacca","giacca scarpa","roccia tenda",1,"Correct",1047
3,64,"tavolo","tavolo albero","violino tramonto",1,"Correct",1318
3,65,"albero","albero tramonto","vaso tramonto",1,"Correct",1537
3,66,"specchio","specchio violino","tramonto tavolo",1,"Correct",1691
3,67,"torta","scarpa torta","scarpa finestra",2,"Incorrect",1602
3,68,"camera","roccia torta","camera scarpa",1,"Incorrect",1637
3,69,"insalata","scarpa torta","piazza insalata",2,"Correct",2470
3,70,"libro","specchio libro","fazzoletto prato",1,"Correct",3611
3,71,"specchio","prato violino","specchio prato",1,"Incorrect",1581
3,72,"libro","tavolo vaso","vaso libro",2,"Correct",1169
3,73,"albero","albero violino","tramonto albero",2,"Incorrect",972
3,74,"torta","piazza acqua","torta roccia",1,"Incorrect",1298
3,75,"albero","vaso albero","violino specchio",1,"Correct",1844
3,76,"prato","violino vaso","violino prato",1,"Incorrect",1697
3,77,"camera","piazza camera","tenda scarpa",1,"Correct",1408
3,78,"finestra","tenda camera","piazza finestra",2,"Correct",1165
3,79,"camera","acqua roccia","camera tenda",2,"Correct",1432
3,80,"tramonto","vaso tramonto","tramonto libro",1,"Correct",1431
3,81,"torta","giacca torta","acqua giacca",1,"Correct",3304
4,1,"tramonto","fazzoletto prato","tramonto violino",2,"Correct",3760
4,2,"acqua","roccia acqua","giacca finestra",1,"Correct",4549
4,3,"vaso","vaso fazzoletto","vaso violino",2,"Incorrect",5959
4,4,"roccia","scarpa roccia","acqua roccia",1,"Correct",4085
4,5,"finestra","roccia tenda","finestra scarpa",1,"Incorrect",8700
4,6,"libro","libro tramonto","albero prato",1,"Correct",8503
4,7,"martello","martello violino","libro martello",1,"Correct",7579
4,8,"giacca","camera tenda","tenda giacca",2,"Correct",4734
4,9,"acqua","acqua finestra","acqua piazza",2,"Incorrect",5920
4,10,"albero","tavolo tramonto","albero prato",2,"Correct",2352
4,11,"libro","specchio fazzoletto","martello libro",2,"Correct",6686
4,12,"camera","tenda insalata","tenda camera",2,"Correct",4046
4,13,"libro","vaso prato","libro violino",2,"Correct",2534
4,14,"vaso","prato vaso","tramonto albero",1,"Correct",5364
4,15,"tavolo","tavolo prato","tavolo violino",1,"Correct",4025
4,16,"finestra","finestra insalata","finestra acqua",1,"Correct",5435
4,17,"tavolo","tavolo specchio","tavolo vaso",2,"Correct",5136
4,18,"torta","piazza insalata","torta insalata",2,"Correct",3992
4,19,"finestra","finestra piazza","tenda giacca",2,"Incorrect",5344
4,20,"martello","prato martello","tramonto violino",2,"Incorrect",8268
4,21,"acqua","torta acqua","acqua piazza",1,"Incorrect",8960
4,22,"muro","vaso tavolo","specchio muro",2,"Correct",7511
4,23,"torta","piazza finestra","torta tenda",2,"Correct",5078
4,24,"finestra","camera finestra","giacca finestra",1,"Incorrect",4497
4,25,"camera","roccia camera","finestra camera",1,"Incorrect",4671
4,26,"prato","violino prato","libro tramonto",1,"Correct",3032
4,27,"tenda","tenda insalata","torta giacca",2,"Incorrect",4064
4,28,"torta","giacca torta","scarpa giacca",2,"Incorrect",3400
4,29,"tenda","giacca insalata","scarpa tenda",2,"Correct",2013
4,30,"acqua","scarpa acqua","torta piazza",1,"Correct",3432
4,31,"camera","camera acqua","scarpa camera",1,"Incorrect",5222
4,32,"finestra","finestra tenda","giacca camera",2,"Incorrect",7664
4,33,"camera","giacca camera","bambola torta",1,"Correct",4726
4,34,"torta","torta bambola","finestra tenda",1,"Correct",5189
4,35,"insalata","insalata piazza","scarpa roccia",2,"Incorrect",6488
4,36,"tavolo","vaso martello","tavolo muro",2,"Correct",4655
4,37,"acqua","piazza roccia","tenda acqua",2,"Correct",8970
4,38,"libro","specchio martello","vaso libro",2,"Correct",3139
4,39,"tavolo","specchio tavolo","albero violino",2,"Incorrect",2979
4,40,"specchio","violino prato","specchio prato",2,"Correct",3225
4,41,"tavolo","vaso libro","fazzoletto tavolo",1,"Incorrect",4433
4,42,"camera","torta camera","torta roccia",2,"Incorrect",2797
4,43,"tavolo","albero tavolo","tavolo muro",1,"Correct",7399
4,44,"albero","albero specchio","vaso albero",2,"Correct",1185
4,45,"specchio","specchio fazzoletto","albero vaso",2,"Incorrect",1581
4,46,"tenda","finestra torta","piazza tenda",1,"Incorrect",2943
4,47,"giacca","insalata acqua","piazza giacca",1,"Incorrect",3603
4,48,"libro","albero libro","libro prato",2,"Correct",1587
4,49,"tavolo","tavolo tramonto","fazzoletto vaso",1,"Correct",4920
4,50,"albero","tramonto albero","fazzoletto albero",2,"Incorrect",1704
4,51,"vaso","tramonto vaso","violino vaso",2,"Correct",2077
4,52,"camera","torta camera","camera roccia",2,"Correct",5916
4,53,"acqua","torta acqua","bambola roccia",1,"Correct",3815
4,54,"libro","specchio muro","specchio libro",1,"Incorrect",2669
4,55,"acqua","camera acqua","tenda acqua",2,"Incorrect",3204
4,56,"giacca","roccia finestra","giacca scarpa",2,"Correct",2111
4,57,"camera","finestra insalata","camera insalata",1,"Incorrect",3918
4,58,"giacca","scarpa finestra","giacca insalata",1,"Incorrect",2622
4,59,"acqua","giacca acqua","scarpa acqua",2,"Incorrect",2869
4,60,"tramonto","prato martello","tramonto vaso",1,"Incorrect",2741
4,61,"torta","roccia insalata","torta piazza",2,"Correct",2482
4,62,"torta","camera piazza","torta roccia",2,"Correct",2741
4,63,"specchio","violino specchio","libro specchio",1,"Correct",3313
4,64,"torta","torta tenda","scarpa torta",1,"Incorrect",1691
4,65,"libro","libro albero","violino specchio",1,"Correct",2517
4,66,"acqua","bambola giacca","acqua insalata",2,"Correct",1530
4,67,"albero","prato tavolo","albero fazzoletto",1,"Incorrect",2678
4,68,"tenda","tenda scarpa","tenda roccia",2,"Correct",2459
4,69,"prato","fazzoletto prato","tavolo albero",1,"Correct",3582
4,70,"giacca","giacca bambola","scarpa torta",1,"Correct",2249
4,71,"specchio","specchio martello","libro violino",1,"Correct",3136
4,72,"albero","albero violino","violino martello",2,"Incorrect",1875
4,73,"martello","prato specchio","martello vaso",1,"Incorrect",3089
4,74,"albero","albero specchio","tavolo fazzoletto",1,"Correct",2914
4,75,"finestra","tenda piazza","roccia finestra",2,"Correct",2610
4,76,"camera","giacca piazza","camera piazza",2,"Correct",1993
4,77,"tavolo","libro prato","tavolo violino",2,"Correct",1253
4,78,"piazza","piazza roccia","acqua giacca",1,"Correct",2186
4,79,"insalata","roccia insalata","insalata torta",2,"Incorrect",3969
4,80,"bambola","camera scarpa","bambola roccia",1,"Incorrect",2391
4,81,"finestra","insalata camera","finestra torta",1,"Incorrect",6311
5,1,"torta","scarpa finestra","torta scarpa",1,"Incorrect",8494
5,2,"prato","fazzoletto prato","martello violino",2,"Incorrect",3286
5,3,"specchio","specchio fazzoletto","muro tavolo",1,"Correct",3814
5,4,"acqua","piazza acqua","tenda acqua",1,"Correct",2508
5,5,"giacca","insalata piazza","giacca bambola",2,"Correct",2742
5,6,"finestra","finestra scarpa","giacca camera",2,"Incorrect",2199
5,7,"acqua","torta giacca","acqua torta",2,"Correct",4521
5,8,"camera","giacca scarpa","camera roccia",1,"Incorrect",5078
5,9,"tavolo","tavolo vaso","muro specchio",2,"Incorrect",3280
5,10,"finestra","torta finestra","finestra giacca",1,"Correct",4667
5,11,"libro","violino albero","libro martello",2,"Correct",3068
5,12,"tenda","insalata acqua","insalata tenda",1,"Incorrect",2908
5,13,"giacca","scarpa torta","scarpa giacca",2,"Correct",2094
5,14,"acqua","camera roccia","giacca acqua",2,"Correct",2020
5,15,"tenda","tenda piazza","giacca insalata",1,"Correct",2475
5,16,"roccia","roccia scarpa","roccia finestra",1,"Correct",2516
5,17,"giacca","acqua torta","piazza giacca",2,"Correct",3908
5,18,"specchio","specchio violino","tramonto violino",1,"Correct",1844
5,19,"muro","tavolo tramonto","specchio muro",1,"Incorrect",3044
5,20,"finestra","finestra piazza","camera torta",2,"Incorrect",1818
5,21,"acqua","insalata roccia","acqua roccia",1,"Incorrect",1667
5,22,"albero","specchio albero","violino albero",2,"Correct",1546
5,23,"libro","libro tramonto","albero tramonto",2,"Incorrect",2514
5,24,"acqua","piazza acqua","acqua camera",1,"Incorrect",2092
5,25,"bambola","torta piazza","roccia bambola",2,"Correct",2256
5,26,"tavolo","albero prato","tavolo fazzoletto",1,"Incorrect",2358
5,27,"insalata","roccia insalata","camera tenda",1,"Correct",2034
5,28,"camera","camera giacca","giacca acqua",2,"Incorrect",2045
5,29,"vaso","violino specchio","vaso prato",1,"Incorrect",2078
5,30,"camera","acqua roccia","insalata camera",1,"Incorrect",2496
5,31,"libro","libro vaso","albero vaso",2,"Incorrect",3543
5,32,"acqua","acqua scarpa","tenda insalata",1,"Correct",3240
5,33,"acqua","roccia bambola","finestra acqua",2,"Correct",2519
5,34,"libro","albero libro","libro specchio",1,"Incorrect",3034
5,35,"tavolo","tavolo specchio","albero fazzoletto",1,"Correct",2673
5,36,"camera","roccia piazza","torta camera",1,"Incorrect",3355
5,37,"tavolo","prato tavolo","specchio libro",1,"Correct",2622
5,38,"finestra","finestra tenda","torta tenda",1,"Correct",2303
5,39,"torta","insalata torta","insalata finestra",2,"Incorrect",1942
5,40,"giacca","giacca insalata","torta insalata",1,"Correct",1860
5,41,"camera","giacca bambola","camera piazza",1,"Incorrect",2174
5,42,"finestra","torta finestra","insalata finestra",1,"Incorrect",2316
5,43,"torta","insalata camera","giacca torta",1,"Incorrect",2289
5,44,"camera","tenda scarpa","tenda camera",2,"Correct",2528
5,45,"insalata","piazza insalata","tenda roccia",2,"Incorrect",2102
5,46,"tenda","scarpa tenda","piazza finestra",1,"Correct",1657
5,47,"camera","piazza camera","finestra camera",1,"Incorrect",2224
5,48,"martello","fazzoletto specchio","martello prato",1,"Incorrect",1925
5,49,"vaso","tramonto libro","vaso violino",1,"Incorrect",1655
5,50,"giacca","acqua finestra","tenda giacca",2,"Correct",1454
5,51,"albero","specchio albero","violino tavolo",1,"Correct",2667
5,52,"tavolo","tavolo specchio","tavolo tramonto",1,"Incorrect",1811
5,53,"finestra","roccia scarpa","finestra roccia",2,"Correct",1933
5,54,"finestra","torta roccia","giacca finestra",2,"Correct",2396
5,55,"camera","scarpa acqua","scarpa camera",1,"Incorrect",1639
5,56,"piazza","scarpa camera","piazza roccia",1,"Incorrect",2438
5,57,"prato","fazzoletto tavolo","violino prato",2,"Correct",1422
5,58,"specchio","violino vaso","martello specchio",1,"Incorrect",2933
5,59,"specchio","specchio prato","prato violino",1,"Correct",2078
5,60,"libro","specchio prato","albero libro",1,"Incorrect",3070
5,61,"martello","libro violino","violino martello",1,"Incorrect",1738
5,62,"tavolo","prato vaso","tavolo muro",2,"Correct",3107
5,63,"torta","torta roccia","tenda finestra",1,"Correct",2080
5,64,"acqua","tenda giacca","insalata acqua",2,"Correct",1635
5,65,"vaso","vaso fazzoletto","fazzoletto prato",2,"Incorrect",2098
5,66,"tavolo","vaso martello","violino tavolo",1,"Incorrect",1395
5,67,"libro","tavolo albero","violino libro",2,"Correct",1419
5,68,"torta","camera finestra","torta bambola",1,"Incorrect",1786
5,69,"libro","tramonto vaso","prato libro",2,"Correct",2231
5,70,"tramonto","specchio martello","violino tramonto",2,"Correct",1757
5,71,"acqua","acqua camera","acqua tenda",1,"Incorrect",960
5,72,"tavolo","albero tavolo","fazzoletto vaso",1,"Correct",1446
5,73,"torta","torta piazza","giacca piazza",2,"Incorrect",1111
5,74,"albero","prato martello","prato albero",1,"Incorrect",1305
5,75,"torta","tenda piazza","torta tenda",1,"Incorrect",2061
5,76,"tenda","roccia tenda","torta bambola",1,"Correct",1335
5,77,"albero","tavolo vaso","albero tramonto",1,"Incorrect",1784
5,78,"martello","libro vaso","martello vaso",2,"Correct",2069
5,79,"albero","libro prato","albero fazzoletto",1,"Incorrect",2216
5,80,"albero","vaso albero","martello libro",1,"Correct",1196
5,81,"tramonto","tavolo prato","tramonto vaso",1,"Incorrect",1326
6,1,"albero","albero specchio","libro albero",2,"Incorrect",4266
6,2,"finestra","torta finestra","bambola torta",2,"Incorrect",3800
6,3,"torta","piazza camera","torta piazza",1,"Incorrect",3114
6,4,"tavolo","tramonto violino","prato tavolo",2,"Correct",4316
6,5,"specchio","prato specchio","muro specchio",1,"Correct",3524
6,6,"acqua","acqua insalata","insalata tenda",2,"Incorrect",3279
6,7,"acqua","tenda acqua","acqua giacca",2,"Correct",2989
6,8,"torta","torta insalata","torta finestra",2,"Incorrect",2112
6,9,"specchio","specchio violino","vaso prato",2,"Incorrect",2642
6,10,"finestra","scarpa roccia","roccia finestra",2,"Correct",2356
6,11,"camera","torta camera","insalata finestra",1,"Correct",2151
6,12,"acqua","acqua finestra","camera roccia",1,"Correct",2552
6,13,"tavolo","tavolo muro","vaso violino",1,"Correct",3139
6,14,"finestra","scarpa finestra","camera acqua",2,"Incorrect",1882
6,15,"acqua","acqua torta","roccia finestra",1,"Correct",1401
6,16,"tavolo","prato specchio","fazzoletto tavolo",2,"Correct",1892
6,17,"martello","violino prato","violino martello",2,"Correct",2298
6,18,"acqua","insalata acqua","acqua tenda",1,"Incorrect",2144
